product_id,item_id,category,r_name,volume,price_type_1,price_1,price_type_2,price_2,weight,category_rate,lv_limit,r_rate,r_ancient,r_cash,r_gold,r_comment
2000001,,relation_5,전설 드래곤 인연포인트,20,ancient,200,cash,3975,0,1,1;99,100.00%,10.00,198.75,198750.00,19.875
2000002,,relation_4,영웅 드래곤 인연포인트,20,ancient,50,cash,994,0,1,1;99,100.00%,2.50,49.69,49687.50,
2010000,704070,rune,랜덤 룬,1,rune,,,,0,0.5,21;39,50.00%,,,,
2010001,704071,rune,하위 랜덤 룬,1,rune,,,,0,0.5,1;20,50.00%,,,,
2010002,704072,rune,상위 랜덤 룬,1,rune,,,,0,0.5,40;99,50.00%,,,,
2020001,779134,super_slime,★3 슈퍼 슬라임,1,ancient,9,cash,170,0,0.65,1;99,65.00%,8.55,170.00,170000.00,
2020002,779144,super_slime,★4 슈퍼 슬라임,1,ancient,38,cash,760,0,0.25,1;99,25.00%,38.24,760.00,760000.00,
2020003,779154,super_slime,★5 슈퍼 슬라임,1,cash,4120,,,0,0.1,1;99,10.00%,207.30,4120.00,4120000.00,
2030001,779235,skill_slime,희귀 스킬 슬라임,1,ancient,15,cash,300,0,0.65,1;99,65.00%,15.09,300.00,300000.00,
2030002,779245,skill_slime,영웅 스킬 슬라임,1,ancient,42,cash,830,0,0.25,1;99,25.00%,41.76,830.00,830000.00,
2030003,779255,skill_slime,전설 스킬 슬라임,1,cash,4150,,,0,0.1,1;99,10.00%,208.81,4150.00,4150000.00,
2040001,760003,reinforce,희귀 강화 포인트,40,ancient,10,cash,200,0,0.15,1;99,15.00%,0.25,5.00,7547.17,
2040002,760004,reinforce,영웅 강화 포인트,40,ancient,100,cash,1988,0,0.1,1;99,10.00%,2.50,49.69,75003.77,
2040003,760005,reinforce,전설 강화 포인트,40,cash,7950,,,0,0.05,1;99,5.00%,10.00,198.75,300000.00,
2050001,701011,none,하급 진화의 보석,1,gold,100,,,8,0,1;99,0.80%,0.01,0.10,100.00,
2050002,701012,none,중급 진화의 보석,1,gold,400,,,8,0,10;99,0.80%,0.02,0.40,400.00,
2050003,701013,none,상급 진화의 보석,1,gold,1800,,,8,0,20;99,0.80%,0.09,1.80,1800.00,
2050004,701014,none,최상급 진화의 보석,1,gold,9000,,,8,0,30;99,0.80%,0.45,9.00,9000.00,
2050011,701111,none,하급 땅의정기,1,gold,350,,,8,0,1;99,0.80%,0.02,0.35,350.00,
2050012,701112,none,중급 땅의정기,1,gold,1400,,,8,0,10;99,0.80%,0.07,1.40,1400.00,
2050013,701113,none,상급 땅의 정기,1,gold,6300,,,8,0,20;99,0.80%,0.32,6.30,6300.00,
2050014,701114,none,최상급 땅의 정기,1,gold,31500,,,8,0,30;99,0.80%,1.58,31.50,31500.00,
2050021,701121,none,하급 물의 정기,1,gold,350,,,8,0,1;99,0.80%,0.02,0.35,350.00,
2050022,701122,none,중급 물의 정기,1,gold,1400,,,8,0,10;99,0.80%,0.07,1.40,1400.00,
2050023,701123,none,상급 물의 정기,1,gold,6300,,,8,0,20;99,0.80%,0.32,6.30,6300.00,
2050024,701124,none,최상급 물의 정기,1,gold,31500,,,8,0,30;99,0.80%,1.58,31.50,31500.00,
2050031,701131,none,하급 불의 정기,1,gold,350,,,8,0,1;99,0.80%,0.02,0.35,350.00,
2050032,701132,none,중급 불의 정기,1,gold,1400,,,8,0,10;99,0.80%,0.07,1.40,1400.00,
2050033,701133,none,상급 불의 정기,1,gold,6300,,,8,0,20;99,0.80%,0.32,6.30,6300.00,
2050034,701134,none,최상급 불의 정기,1,gold,31500,,,8,0,30;99,0.80%,1.58,31.50,31500.00,
2050041,701141,none,하급 빛의 정기,1,gold,350,,,8,0,1;99,0.80%,0.02,0.35,350.00,
2050042,701142,none,중급 빛의 정기,1,gold,1400,,,8,0,10;99,0.80%,0.07,1.40,1400.00,
2050043,701143,none,상급 빛의 정기,1,gold,6300,,,8,0,20;99,0.80%,0.32,6.30,6300.00,
2050044,701144,none,최상급 빛의 정기,1,gold,31500,,,8,0,30;99,0.80%,1.58,31.50,31500.00,
2050051,701151,none,하급 어둠의 정기,1,gold,350,,,8,0,1;99,0.80%,0.02,0.35,350.00,
2050052,701152,none,중급 어둠의 정기,1,gold,1400,,,8,0,10;99,0.80%,0.07,1.40,1400.00,
2050053,701153,none,상급 어둠의 정기,1,gold,6300,,,8,0,20;99,0.80%,0.32,6.30,6300.00,
2050054,701154,none,최상급 어둠의 정기,1,gold,31500,,,8,0,30;99,0.80%,1.58,31.50,31500.00,
2051001,701011,none,하급 진화의 보석,5,gold,500,,,8,0,1;99,0.80%,0.01,0.10,100.00,
2051002,701012,none,중급 진화의 보석,5,gold,2000,,,8,0,10;99,0.80%,0.02,0.40,400.00,
2051003,701013,none,상급 진화의 보석,5,gold,9000,,,8,0,20;99,0.80%,0.09,1.80,1800.00,
2051004,701014,none,최상급 진화의 보석,5,gold,45000,,,8,0,30;99,0.80%,0.45,9.00,9000.00,
2051011,701111,none,하급 땅의정기,5,gold,1750,,,8,0,1;99,0.80%,0.02,0.35,350.00,
2051012,701112,none,중급 땅의정기,5,gold,7000,,,8,0,10;99,0.80%,0.07,1.40,1400.00,
2051013,701113,none,상급 땅의 정기,5,gold,31500,,,8,0,20;99,0.80%,0.32,6.30,6300.00,
2051014,701114,none,최상급 땅의 정기,5,gold,157500,,,8,0,30;99,0.80%,1.58,31.50,31500.00,
