page,bg,illustration,char,t_char_name,char_pos,char_ani,char_effect,r_scen,t_text,text_pos,text_type,auto_skip,effect_1,effect_2,effect_3,bgm,bgm_action,sound
1,,,,,,,,,,,,3,title;검은 사도의 습격,skip_disable,,,,
2,,,,,,,,,,,,0.3,skip_disable,,,,,
3,,,,,,,,,전쟁으로 인해 마음이 피폐해진 자들은 사악한 기운에 쉽게 현혹되었고,,narrate,,,,,,,
4,,,,,,,,,스스로 검은 사도가 되어 힘을 갈망했다.,,narrate,,,,,,,
5,,,,,,,,,신성 왕국 바이델의 빛의 사제와 그들의 수장인 마이아는 세상이 점점 어두워지는 것을 느끼기 시작했다.,,narrate,,,,,,,
6,,,,,,,,,마이아는 세계의 질서를 유지하고 평화를 수호하기 위한 회담을 하고자했고,,narrate,,,,,,,
7,,,,,,,,,각 왕국의 왕들에게 회담을 요청하였다.,,narrate,,,,,,,
8,,,,,,,,,회담 요청을 받은 왕들은 속속들이 신성 왕국 바이델로 모였고 회담이 진행되었다.,,narrate,,,,,,,
9,,,,,,,,,마이아의 기대와는 달리 각 왕국의 왕들은 국익을 우선시할 뿐이었다.,,narrate,,,,,,,
10,,,,,,,,,서로의 의견을 좁히지 못하고 있을 무렵...,,narrate,,,,,,,
11,,,,,,,,,"세상의 신질서를 만들려는 검은 사도들은 회담장으로 습격해 왔고,",,narrate,,,,,,,
12,,,,,,,,,빛의 사제들은 속수무책으로 당하고 만다.,,narrate,,,,,,,
13,번개고룡스토리3_1,,,,,,,,기습에 성공한 검은 사도들은 왕들과 마이아를 사로잡은 채 자신들의 뜻을 전하기 시작했다.,,bold,,,,,,,
14,번개고룡스토리3_1,,검은로브 보스,검은 사도,left,idle,,,"빛이여, 사라져라! 어둠만이 우리를 구원할지어다.",,bold_italic,,,,,,,
15,번개고룡스토리3_1,,검은로브 보스,검은 사도,left,idle,,,파괴가 세상을 정화하고 신세계가 도래할지니.. 새로운 세계의 주인 카데스님을 추종하라!,,bold_italic,,,,,,,
