page,bg,illustration,char,t_char_name,char_pos,char_ani,char_effect,r_scen,t_text,text_pos,text_type,auto_skip,effect_1,effect_2,effect_3,bgm,bgm_action,sound
1,,,,,,,,,,,,3,title;검은 사도의 습격,skip_disable,,,,
2,,,,,,,,,,,,0.3,skip_disable,,,,,
3,,,,,,,,,,,,,,,,,,
4,,,,,,,,,마이아는 검은 사도들이 방심한 틈을 타 한 빛의 사제에게 쪽지를 건네주었다.,,narrate,,,,,,,
5,,,,,,,,,쪽지를 건네받은 빛의 사제는 쪽지에 적힌 로버트 테일러와 번개고룡을 찾아 나섰다.,,narrate,,,,,,,
6,,,,,,,,,수소문 끝에 다다른 곳은 염화의 땅이라 불리는 대륙이었다.,,narrate,,,,,,,
7,,,,,,,,,빛의 사제는 번개고룡과 테일러를 찾아다녔으나 어디에도 그들의 모습은 보이지 않았다.,,narrate,,,,,,,
8,,,,,,,,,떠돌던 빛의 사제 앞에 몬스터들로부터 위기에 처한 소년을 만나게 된다.,,narrate,,,,,,,
9,,,,,,,,,빛의 사제는 몬스터를 물리쳐 소년을 구해주었고 소년에게 번개고룡에 대해 물어보았다.,,narrate,,,,,,,
10,,,,,,,,,소년은 고개를 끄덕이며 자신을 따라오라며 빛의 사제를 인도하였다.,,narrate,,,,,,,
