page,bg,illustration,char,t_char_name,char_pos,char_ani,char_effect,r_scen,t_text,text_pos,text_type,auto_skip,effect_1,effect_2,effect_3,bgm,bgm_action,sound
1,,,,,,,,,,,,3,title;희미한 기억,skip_disable,,,,
2,로비,,,,,,,,,,,0.3,skip_disable,,,bgm_sorrow,,
3,,,모코지,,left,sorrow,,,정말로 괜찮겠어요? 무리하지 마요.,,,,,,,,,
4,,,누리,,right,idle,,,그래도 하는 수밖에 없어요.,,,,,,,,,
5,,,누리,,right,thought,,,어쨌거나 지금이 아니면 다시 떠올릴 수 없을지도 모르니까..,,,,,,,,,
6,,,모코지,,left,thought,,,아무리 그래도..,,,,,,,,,
7,,,두른,,right,idle,,,"모코지, 네가 말린다고 해도 누리 님의 눈빛은 그 뜻을 굽힐 것 같지 않은데?",,,,,,,,,
8,,,모코지,,left,idle,,,스승님..,,,,,,,,,
9,,,두른,,right,thought,,,물론 전처럼 위험한 상황이 있을지 모르지만..,,,,,,,,,
10,,,두른,,right,thought,,,어쨌거나 지금 우리는 누리 님의 기억을 찾는 것에 기대를 거는 수밖에.,,,,,,,,,
11,,,두른,,right,idle,,,그렇다고 팔짱 끼고 구경이나 하겠다는 건 아니니까 그렇게 노려보지는 말라고.,,,,,,,,,
12,,,모코지,,left,sorrow,,,후우..,,,,,,,,,
13,,,모코지,,left,idle,,,위험해졌다 싶으면 바로 중지할게요. 알았죠?,,,,,,,,,
14,,,누리,,right,idle,,,고마워요. 모코지 님.,,,,,,,,,
15,,,누리,,right,thought,,,"그래도 반드시 찾고 싶어요. 아니, 찾아야 해요! 잃어버린 제 기억을.",,,,,,,,,
16,,,두른,,left,thought,,,정말 대단한 의지군.,,,,,,,,,
17,,,,,,,,,,,,1,black_in,skip_disable,,,,
