page,bg,illustration,char,t_char_name,char_pos,char_ani,char_effect,r_scen,t_text,text_pos,text_type,auto_skip,effect_1,effect_2,effect_3,bgm,bgm_action,sound
1,,,,,,,,,,,,3,title;힘을 향한 탐욕,skip_disable,,,,
2,,,,,,,,,,,,0.3,skip_disable,,,,,
3,챕터3,,파워 드래곤,파워드래곤,left,idle,,,나의 힘이 더는 그 누구에게도 닿지 못하도록 능력을 숨겨야 한다.,,bold,5,,,,,,
4,,,,,,,,,파워드래곤은 더는 무고한 희생이 벌어지지 않기 위해선 자신의 능력을 사용하지 않아야 한다고 생각했다.,,bold,5,clear_char,,,,,
5,,,,,,,,,파워드래곤이 능력을 사용하지 않는 것을 제일 먼저 눈치챈 것은 몬스터들이었다.,,bold,5,,,,,,
6,,,,,,,,,몬스터들은 파워드래곤이 능력을 사용하도록 죄 없는 생명들을 희생시키며 더 잔혹하게 세상을 물들였다.,,bold,5,,,,,,
7,챕터3,,다람쥐,다람쥐 리더,right,idle,,,모습을 드러내라! 파워드래곤!,,bold,5,,,,,,
8,,,,,,,,,몬스터의 협박과도 같은 목소리가 파워드래곤에게 닿았다.,,bold,5,clear_char,,,,,
9,챕터3,,,,,,,,죄 없는 생명들의 고통을 두고 볼 수 없었던 파워드래곤은 결국 모습을 드러내 포효했다.,,bold,5,,,,,,
10,챕터3,,파워 드래곤,파워드래곤,left,idle,,,"탐욕과 악에 가득 찬 생명들아, 사라져라!",,bold,5,,,,,,
