page,bg,illustration,char,t_char_name,char_pos,char_ani,char_effect,r_scen,t_text,text_pos,text_type,auto_skip,effect_1,effect_2,effect_3,bgm,bgm_action,sound
1,,,,,,,,,,,,3,title;과욕의 독,skip_disable,,,,
2,챕터4,,,,,,,,,,,0.3,skip_disable,,,bgm_everyday,,
3,,,고니,,left,thought,,,아까 누리 님의 표정이 밝지 않았는데. 무슨 고민이 있는 건 아닐까?,,,,,,,,,
4,,,케사스,,right,idle,,,아침에 데데가 말했어. 누리 님의 병세가 심해졌다고 말이야.,,,,,,,,,
5,,,고니,,left,thought,,,"병이라면.. 처음 빛의 기둥에서 나타났을 때 말한, 두통을 말하는 거야?",,,,,,,,,
6,,,케사스,,right,idle,,,두통이라.. 어쩌면 우리가 알지 못한 무언가 다른 병을 앓고 있을지도 몰라.,,,,,,,,,
7,,,케사스,,right,idle,,,"일단, 모코지 님이 누리 님과 이야기한다고 했으니, 뭔갈 알아낼 수 있을 거야.",,,,,,,,,
8,,,,,,,,,,,,2,clear_all,black_in,skip_disable,,,
9,,,,,,,,2초 대기,,,,1,fadeout,skip_disable,,,,
10,,,모코지,,left,thought,,,"자, 누리 님, 눈을 감고 떠오르는 것들을 말씀해보세요.",,,,,,,,,
11,,,누리,,right,thought,,1초 대기,드래곤의 알...,,,,,,,,,
12,,,,,,,,,,,,2,clear_all,white_in,skip_disable,,,
13,어둠의의식,,,,,,,,,,,0.5,skip_disable,,,bgm_dungeon_boss,,
14,,,,,,,,,,,,1,fadeout,skip_disable,,,,
15,,,,,,,,,,,,2,skip_disable,,,,,
16,,,누리,,right,thought,,[컷씬]13 1-2초 대기,크고 흉측하게 생긴 드래곤의 알.,,,,,,,,,
17,,,누리,,right,thought,,[컷씬]13,수많은 검은 로브와 빛의… 크윽!,,,,shaking,flash,,,,
18,,,모코지,,left,fury,,,"누, 누리 님!",,,,,,,,,
19,,,누리,,right,sorrow,,,머리가... 너무 아파…,,,,,,,,,
20,,,,,,,,,,,,2,clear_all,black_in,skip_disable,,,
21,로비,,,,,,,,,,,0.5,skip_disable,,,,,
22,,,,,,,,2초 대기,,,,1,fadeout,skip_disable,,bgm_sorrow,,
23,,,데데,,left,idle,,,"모코지 님, 뭔가 알아내셨나요? 누리 님이 무슨 병에 걸렸는지?",,,,,,,,,
24,,,모코지,,right,thought,,,글쎄요. 이건 병이라기보다 마법 후유증 같아요.,,,,,,,,,
25,,,데데,,left,thought,,,마법 후유증? 그게 뭐죠?,,,,,,,,,
26,,,모코지,,right,idle,,,"확신할 수는 없지만, 이런 사례를 책에서 읽은 적이 있어요.",,,,,,,,,
27,,,모코지,,right,idle,,,보호 마법에 걸린 사람들 중에는 기억상실증에 걸리는 경우가 있다고 말이죠.,,,,,,,,,
28,,,모코지,,right,thought,,,"강력한 마법을 시전할 때, 종종 보호 마법을 걸죠. 예를 들자면, 차원이동 같은…",,,,,,,,,
29,,,모코지,,right,thought,,,알다시피 누리 님은 다른 세계에서 여기 이노로 오셨죠.,,,,,,,,,
30,,,모코지,,right,idle,,,"이 두 가지 사실에 비추어 볼 때, 충분히 가능성이 있다고 봐요.",,,,,,,,,
31,,,모코지,,right,idle,,,물론 저의 추측을 뿐이지만..,,,,,,,,,
32,,,누리,,left,sorrow,,,으으…,,,,shaking,,,bgm_everyday,,
33,,,데데,,right,idle,,,"누, 누리 님. 정신이 들어요?",,,,,,,,,
34,,,누리,,left,idle,,,"응, 걱정 하지 마. 머리가 조금 어지러운 것만 빼면... 아무 이상 없어.",,,,,,,,,
35,,,모코지,,right,idle,,,그건 마법 후유증이에요. 잠시 쉬면 괜찮아질 겁니다.,,,,,,,,,
36,,,모코지,,right,idle,,,"그보다 누리 님이 말씀하신, 거대한 알과 검은 로브는 무슨 의미일까요?",,,,,,,,,
37,,,누리,,left,thought,,,"저도 잘 모르겠어요. 다만, 수호자를 만날 때마다 머리가 지끈거리는 걸 보면.",,,,,,,,,
38,,,누리,,left,thought,,,마지막 남은 용기의 수호자가 제가 품은 의문에 대한 답을 내줄지도 모르겠네요.,,,,,,,,,
39,,,데데,,right,idle,,,"네. 저도 그랬으면 좋겠네요. 아니, 꼭 그렇게 되리라 믿어요!",,,,,,,,,
40,,,,,,,,,,,,1,black_in,skip_disable,,,,
