page,bg,illustration,char,t_char_name,char_pos,char_ani,char_effect,r_scen,t_text,text_pos,text_type,auto_skip,effect_1,effect_2,effect_3,bgm,bgm_action,sound
1,,,,,,,,,,,,3,title;정의 실현,skip_disable,,,,
2,,,,,,,,,,,,0.3,skip_disable,,,,,
3,,,,,,,,,소년이 가리킨 곳에는 번개고룡과 로버트 테일러가 사람들과 함께 마을을 만들고 있었다.,,narrate,,,,,,,
4,챕터1,,빛의 사제,,left,idle,,,"테일러, 당신과 번개고룡의 힘이 필요합니다.",,bold,,,,,,,
5,챕터1,,로버트 테일러,,right,idle,,,"돌아가시오, 또다시 우리의 힘으로 희생되는 모습을 보고 싶지 않습니다.",,bold,,,,,,,
6,챕터1,,번개고룡,,right,idle,,,우리의 정의가 실현되지 않는 한 움직이지 않을 거야.,,bold,,,,,,,
7,챕터1,,빛의 사제,,left,idle,,,당신들의 정의란 무엇입니까?,,bold,,,,,,,
8,챕터1,,번개고룡,,right,idle,,,힘으로 평화를 이루는 것이 아닌 믿음으로 평화를 이루는 것. 그게 우리의 정의야.,,bold,,,,,,,
9,챕터1,,빛의 사제,,left,idle,,,그렇죠. 그래서 더 당신들의 힘이 필요합니다.,,bold,,,,,,,
10,챕터1,,빛의 사제,,left,idle,,,믿음과 신뢰로 이루어진 장소에 악의 무리들이 공격해 왔습니다.,,bold,,,,,,,
11,챕터1,,빛의 사제,,left,idle,,,이건 희생이 아닙니다! 세계의 질서와 평화를 수호하는 일이에요!,,bold,,,,,,,
12,챕터1,,번개고룡,,right,idle,,,"... 테일러, 우리의 정의를 실현할 때가 된 것 같아.",,bold,,,,,,,
13,챕터1,,로버트 테일러,,right,idle,,,응? 뭐라고?,,bold,,,,,,,
14,챕터1,,번개고룡,,right,idle,,,이 자의 눈에는 진실과 용기가 보여. 우리의 힘을 보여줄 때야!,,bold,,,,,,,
