page,bg,illustration,char,t_char_name,char_pos,char_ani,char_effect,r_scen,t_text,text_pos,text_type,auto_skip,effect_1,effect_2,effect_3,bgm,bgm_action,sound
1,,,,,,,,,,,,3,title;위대한 존재,skip_disable,,,,
2,,,,,,,,,[먼 세계의 순례자여. 바람이 불어오고 있다.],,narrate,,,,,,,
3,,,,,,,,,[세 개의 왕관을 삼킨 어둠 속에서 빛이 그대를 기다리고 있나니],,narrate,,,,,,,
4,,,,,,,,,[가서 그 운명에 맞서거라. 고귀한 별의 인도자들이 빛의 순례자와 걸음을 함께할 것이다.],,narrate,,,,,,,
5,로비,,,,,,,,,,,0.3,skip_disable,,,bgm_everyday,,
6,,,누리,,right,thought,,,"일단 듣기는 했는데, 대체 뭐가 뭔지…",bot,,,,,,,,
7,,,누리,,right,thought,,,"운명은 뭐고, 다른 빛들은 또 뭐야? 아, 모르겠다!",,,,,,,,,
8,,,데데,,left,happy,,,선지자의 말씀은 언제나 그대로 이루어졌습니다.,,,,,,,,,
9,,,데데,,left,thought,,,이노의 세계를 구할 분은 바로 빛의 사도인 누리 님입니다.,,,,,,,,,
10,,,데데,,left,happy,,,이노의 운명이 누리 님의 두 손에 달려있습니다.,,,,,,,,,
11,,,누리,,right,thought,,,대체 뭐가 어찌 돌아가는 건지? 내가 뭘 어찌 할 수 있다고…,,,,,,,,,
12,,,데데,,left,idle,,,"드래곤 테이머라는 것, 그 자체가 이미 그만한 힘과 용기는 가지고 있다는 증거입니다.",,,,,,,,,
13,,,누리,,right,thought,,,흐음...,,,,,,,,,
14,,,데데,,left,happy,,,그럼 먼저 '별의 인도자들'을 찾아보시는 게 어떨까요?,,,,,,,,,
15,,,누리,,right,thought,,,별의 인도자들? 아까 그 예언에서 말한?,,,,,,,,,
16,,,데데,,left,idle,,,"네, 누리 님을 도와 세상을 구할 자들 말입니다.",,,,,,,,,
17,,,누리,,right,thought,,,"동료 같은 건가? 그럼 어디 보자? 아, 그럼 그 둔탱이 녀석을 데려갈 게요.",,,,,,,,,
18,,,데데,,left,thought,,,둔탱이요..?,,,,,,,,,
19,,,누리,,right,idle,,,음.. 빨간머리를 한 소년인데..이름이 고니라고 했던것 같아요,,,,,,,,,
20,,,데데,,left,thought,,,네? 설마.. 마스터가 되겠다고 떠들고 다니는 그 고니 말씀이십니까?,,,,,,,,,
21,,,누리,,right,idle,,,네! 맞아요. 유명한 친구인가보네요?,,,,,,,,,
22,,,데데,,left,thought,,,네.. 다른쪽으로 유명하긴 하지만..,,,,,,,,,
23,,,데데,,left,thought,,,아직은 수습 드래곤 테이머인데 괜찮을까요?,,,,,,,,,
24,,,누리,,right,idle,,,어쨌든 드래곤 테이머이기는 하잖아요. 솔직히 아직 여기서 아는 사람도 없으니까…,,,,,,,,,
25,,,누리,,right,idle,,,"그럼, 그 둔탱이한테 가보죠.",,,,,,,,,
26,,,,,,,,,,,,1,black_in,skip_disable,,,,
