page,bg,illustration,char,t_char_name,char_pos,char_ani,char_effect,r_scen,t_text,text_pos,text_type,auto_skip,effect_1,effect_2,effect_3,bgm,bgm_action,sound
1,,,,,,,,,,,,3,title;토로,skip_disable,,,,
2,로비,,,,,,,,,,,0.3,skip_disable,,,off,,
3,,,누리,,right,thought,,,"(어떻게 해야 어둠의 수호자, 다크닉스를 막을 수 있을까?)",,,,,,,,,
4,,,누리,,right,thought,,,(나만이 할 수 있는 일.. 하지만 어떻게 막을 수 있지..),,,,,,,,,
5,,,누리,,right,sorrow,,,(모르겠어. 난 대체.. 어떻게 해야만 좋을까?),,,,,,,,,
6,,,데데,,left,idle,appear_side,,뭔가 고민이 있어 보이는 얼굴이네요.,,,,,,,bgm_everyday,,
7,,,누리,,right,idle,,,"앗? 미, 미안.. 벌써 이렇게 시간이 됐네.",,,,,,,,,
8,,,데데,,left,idle,,,시간이 지났는데도 오시지 않아서 모두 걱정하고 있었어요.,,,,,,,,,
9,,,고니,,left,thought,,,고민이 있다면 들어 드릴게요. 도움이 될진 모르지만!,,,,,,,,,
10,,,누리,,right,idle,,,"데데, 고니. 그 마음만으로 난 충분해. 고마워.",,,,,,,,,
11,,,누리,,right,idle,,,난 절대 포기하지 않을 거야!,,,,,,,,,
12,,,,,,,,,,,,2,clear_all,white_in,skip_disable,,,
13,,,,,,,,,,,,1,fadeout,skip_disable,,bgm_dungeon_ready,,
14,,,누리,,right,idle,,,무슨 소리야? 난 절대 포기하지 않을 거야!,,,,,,,,,
15,,,아라한,???,left,,,,"[그다지 믿음직스럽지 않지만, 마음이 든든해지는 것 같아.]",,italic,,,,,,,
16,,,누리,,right,fury,,,"자, 잠깐, 그게 무슨 소리야? 설마 날 못 믿겠다는 거야?",,,,,,,,,
17,,,아라한,???,left,,,,"[농, 농담이야, 농담! 진정해, 누리.]",,italic,,,,,,,
18,,,,,,,,,,,,2,clear_all,white_in,skip_disable,,,
19,,,,,,,,,,,,1,fadeout,skip_disable,,bgm_everyday,,
20,,,누리,,right,sorrow,,,누..누구..?!,,,,,,,,,
21,,,데데,,left,thought,,,"저기, 누리 님, 정말 괜찮은 거죠?",,,,,,,,,
22,,,누리,,right,sorrow,,,으응..?,,,,,,,,,
23,,,누리,,right,idle,,,"앗, 미안해~ 난 괜찮아! 어서 출발하자!",,,,,,,,,
24,,,,,,,,,,,,1,black_in,skip_disable,,,,
