page,effect_1,effect_2,effect_3,auto_skip,bg,bgm,bgm_action,sound,char,t_char_name,char_pos,char_effect,char_ani,t_text,t_text_mono
1,title;1.빛의 기둥 B,skip_disable,,3,스테이지1,,,,,,,,,,
2,black;0,flash,skip_disable,0.3,,,,,,,,shaking,,,
3,black;0,flash,skip_disable,0.3,,,,,,,,shaking,,,
4,black;0,flash,skip_disable,1,,,,,,,,shaking,,,
5,,,,,,,,,다크닉스,다크닉스,right,,,"어리석구나, 필멸자여.",
6,,,,,,,,,고니,고니,left,,,"이 자식, 무지막지하게 쎈 데! 역시 내 눈은 정확했어! 반드시 내 드래곤으로… 크윽",
7,,,,,,,,,고니,고니,left,disappear_down,,,
8,,,,,,,,,다크닉스,다크닉스,right,,,"대답하라! 번개고룡, 빛의 종자여. 마이아는 어디있나?",
9,,,,,,,,,번개고룡,번개고룡,left,,,"배신자에게 해줄 대답 따위는 없다! 다크닉스, 타락한 자여!",
10,,,,,,,,,다크닉스,다크닉스,right,,,"흥, 그럼 그 비루한 목숨을 대신 받아가야겠다.",
11,,,,,,,,,누리,누리,left,,,그만 둬!,
12,clear_char,skip_disable,,,,,,,,,,,,,
13,black;0,flash,skip_disable,0.3,,,,,,,,shaking,,,
14,black;0,flash,skip_disable,0.3,,,,,,,,shaking,,,
15,black;0,flash,skip_disable,1,,,,,,,,shaking,,,
16,shaking,skip_disable,,0.5,,,,,,,,,,,
17,,,,,,,,,누리,누리,right,,,정신이 들어?,
18,,,,,,,,,누리,누리,right,,,그보다… 여긴 대체 어디지? 처음 보는 풍경인데….,
19,,,,,,,,,고니,고니,left,,,당신은… 누…구? 그리고 여긴?,
20,,,,,,,,,고니,고니,left,,,번개고룡! 번개고룡은?,
21,,,,,,,,,누리,누리,right,,,걱정 마. 즈믄이랑 주변을 살펴보러 갔으니까.,
22,,,,,,,,,스마트드래곤,스마트드래곤,left,,,"누리야, 저쪽 마을이 있는 거 같은데?",
23,,,,,,,,,누리,누리,right,,,"그래, 그럼 가보자. 너, 걸을 수 있지?",
24,black;0.5,skip_disable,,1,,,,,,,,,,,
25,clear_char,skip_disable,,0,,,,,,,,,,,
26,black;0,fadein,skip_enable,2,스테이지6,,,,,,,,,,
27,blend_black_40,,,,,bgm_dungeon_boss,,,검은 로브,검은 로브,left,,,기다리고 있었습니다.\\n위대한 어둠의 하인이시여.,
28,,,,,,,,,검은 로브 간부,검은 로브[간부],right,,,"...길고 긴 기다림 끝에,\\n드디어 이곳에 도착했군.",
29,,,,,,,,,검은 로브 간부,검은 로브[간부],right,,,"자, 어서 움직여라. \\n추악한 빛의 종이 우리를\\n막아서기 전에!",
30,,,,,,,,,검은 로브,검은 로브,left,,,알겠습니다.,
31,black;0.5,skip_disable,,0.5,,,,,,,,,,,
