page,bg,illustration,char,t_char_name,char_pos,char_ani,char_effect,r_scen,t_text,text_pos,text_type,auto_skip,effect_1,effect_2,effect_3,bgm,bgm_action,sound
1,,,,,,,,,,,,3,title;마이아 아오라,skip_disable,,,,
2,,,,,,,,,,,,0.3,,skip_disable,,,,
3,,,,,,,,,두 드래곤은 평화로 이끄는 상징과 같았다.,,narrate,5,,,,,,
4,,,,,,,,,빛의 사제들은 두 드래곤을 위한 신전을 만들어 감사함을 표했다.,,narrate,5,,,,,,
5,,,,,,,,,"고대신룡은 자신을 찾는 모든 이에게 희망의 빛을 나누어 주었으나,",,narrate,5,,,,,,
6,,,,,,,,,다크닉스는 다정한 대답 대신 두려움을 안겨줄 뿐이었다.,,narrate,5,,,,,,
7,,,,,,,,,"그로 인해 다크닉스를 찾는 이는 단 한 사람, 마이아 아오라뿐이었다.",,narrate,5,,,,,,
8,다크닉스스토리1_1,,마이아 아오라,,left,idle,,,어둠의 수호신 다크닉스를 뵙습니다.,,bold,5,,,,,,
9,,,다크닉스2,다크닉스,right,idle,,,지긋지긋하게도 찾아오는군. 목숨이 아깝지 않은 건가?,,bold,5,,,,,,
10,,,마이아 아오라,,left,idle,,,"말은 그렇게 하지만, 당신의 어둠은 늘 다정한걸요.",,bold,,,,,,,
11,,,마이아 아오라,,left,idle,,,"다크닉스님, 약속해 주세요.",,bold,,,,,,,
12,,,마이아 아오라,,left,idle,,,모든 생명을 지키기 위해서만 어둠의 힘을 사용하겠다고요.,,bold,,,,,,,
13,,,,,,,,,어둠은 마이아 아오라의 다정한 빛으로 변화를 맞이하였다.,,narrate,,,,,,,
14,,,,,,,,,다크닉스는 다짐하고 또 다짐했다.,,narrate,,,,,,,
15,,,,,,,,,'그녀가 눈이 부신 빛이라면 나 자신은 그 뒤를 지키는 어둠이 되리라',,narrate,,,,,,,
