page,bg,illustration,char,t_char_name,char_pos,char_ani,char_effect,r_scen,t_text,text_pos,text_type,auto_skip,effect_1,effect_2,effect_3,bgm,bgm_action,sound
1,,,,,,,,,,,,3,title;어둠의 분노,skip_disable,,,,
2,,,,,,,,,,,,0.3,skip_disable,,,,,
3,,,,,,,,,,,,,,,,,,
4,,,,,,,,,어둠은 얼마나 많은 이를 죽음으로 파멸시켰는가.,,narrate,,,,,,,
5,,,,,,,,,다크닉스는 수많은 복수의 피로 세상을 물들였다.,,narrate,,,,,,,
6,,,,,,,,,오로지 빛을 되살리기 위해서...,,narrate,,,,,,,
7,다크닉스스토리3_3,,다크닉스2,다크닉스,right,fury,,,모든 절망의 존재들을 몰살했다!!,,bold,,,,,,,
8,,,다크닉스2,다크닉스,right,fury,,,나의 복수로 나의 빛은 되돌아올 것이다!,,bold,,,,,,,
9,,,다크닉스2,다크닉스,right,fury,,,"창조신이여, 나의 업적을 보라!!",,bold,,,,,,,
10,,,,,,,,,다크닉스의 분노가 서린 포효는 허공에 울려 퍼지며 대지를 흔들었다.,,narrate,,,,,,,
11,,,,,,,,,그러나 운명을 거스를 순 없었다.,,narrate,,,,,,,
12,다크닉스스토리3_4,,,,,,,,크아아아악!!!!!,,bold,,,,,,,
13,,,,,,,,,다크닉스를 관통한 빛은 어떤 빛보다 날카롭고 강렬하며 비통함이 담겨있었다.,,narrate,,,,,,,
14,,,,,,,,,빛의 창은 다크닉스의 어둠을 영원히 봉인하고자 내린 아모르의 선택이었다.,,narrate,,,,,,,
