zh-CN,zu
巨大的光树,Isihlahla Ukukhanya esikhulu
您已选择{1}\n继续吗？,Ukhethe okuthi {1}\nQhubeka?
“语言”目前正在准备中。,“Izilimi” zisalungiswa okwamanje.
输入“Dragon VillageM”优惠券,"Faka ikhuphoni elithi ""Dragon Village M""."
该代码可以在“http://www.dragonvillage.net/main”使用。\n移动到“http://www.dragonvillage.net/main”吗？,"Le khodi ingasetshenziswa kokuthi ""http://www.dragonvillage.net/ main"".\nHambisa ku-""http://www.dragonvillage.net/main""?"
输入“道具代码”,Faka ' Into Yento'
（第10天）欢迎来到游戏 -,(Usuku 10) Siyakwamukela emdlalweni -
（第11天）欢迎来到游戏 -,(Usuku 11) Siyakwamukela emdlalweni -
（第 12 天）欢迎来到游戏 -,(Usuku 12) Siyakwamukela emdlalweni -
（第 13 天）欢迎来到游戏 -,(Usuku 13) Siyakwamukela emdlalweni -
（第 14 天）欢迎来到游戏 -,(Usuku 14) Siyakwamukela emdlalweni -
（第 15 天）欢迎来到游戏 -,(Usuku 15) Siyakwamukela emdlalweni -
（第 16 天）欢迎来到游戏 -,(Usuku 16) Siyakwamukela emdlalweni -
（第 17 天）欢迎来到游戏 -,(Usuku 17) Siyakwamukela emdlalweni -
（第 18 天）欢迎来到游戏 -,(Usuku 18) Siyakwamukela emdlalweni -
（第 19 天）欢迎来到游戏 -,(Usuku 19) Siyakwamukela emdlalweni -
（第一天）欢迎来到游戏 -,(Usuku 1) Siyakwamukela kugeyimu -
（第一天）公开活动,(Usuku 1) Vula Umcimbi
（第20天）欢迎来到游戏 -,(Usuku 20) Siyakwamukela emdlalweni -
（第21天）欢迎来到游戏 -,(Usuku 21) Siyakwamukela emdlalweni -
（第 22 天）欢迎来到游戏 -,(Usuku 22) Siyakwamukela emdlalweni -
（第23天）欢迎来到游戏 -,(Usuku 23) Siyakwamukela emdlalweni -
（接下来的 24 小时内您无法重新加入）,(Awukwazi ukujoyina kabusha amahora angama-24 alandelayo)
（第 24 天）欢迎来到游戏 -,(Usuku 24) Siyakwamukela emdlalweni -
（第 25 天）欢迎来到游戏 -,(Usuku 25) Siyakwamukela emdlalweni -
（第 26 天）欢迎来到游戏 -,(Usuku 26) Siyakwamukela emdlalweni -
（第 27 天）欢迎来到游戏 -,(Usuku 27) Siyakwamukela emdlalweni -
（第28天）欢迎来到游戏 -,(Usuku 28) Siyakwamukela emdlalweni -
（第 2 天）欢迎来到游戏 -,(Usuku 2) Siyakwamukela emdlalweni -
（第二天）公开活动,(Usuku 2) Vula Umcimbi
（第 3 天）欢迎来到游戏 -,(Usuku 3) Siyakwamukela emdlalweni -
（第 3 天）公开活动,(Usuku 3) Vula Umcimbi
（第四天）欢迎来到游戏 -,(Usuku 4) Siyakwamukela emdlalweni -
（第 4 天）公开活动,(Usuku 4) Vula Umcimbi
（第五天）欢迎来到游戏 -,(Usuku 5) Siyakwamukela emdlalweni -
（第 5 天）公开活动,(Usuku 5) Vula Umcimbi
（第 6 天）欢迎来到游戏 -,(Usuku 6) Siyakwamukela kugeyimu -
（第六天）公开活动,(Usuku 6) Vula Umcimbi
（第 7 天）欢迎来到游戏 -,(Usuku 7) Siyakwamukela emdlalweni -
（第 7 天）公开活动,(Usuku 7) Vula Umcimbi
