vid,key,grade,lv0,lv1,lv2,lv3,lv4,lv5,lv6,lv7,lv8,lv9,lv10,lv11,lv12,lv13,lv14,lv15,r_gap
atk_add_1,atk_add,1,21,31,41,51,61,71,81,91,101,111,121,131,141,151,161,201,10
atk_add_2,atk_add,2,29,41,53,65,77,89,101,113,125,137,149,161,173,185,197,245,12
atk_add_3,atk_add,3,41,56,71,86,101,116,131,146,161,176,191,206,221,236,251,311,15
atk_add_4,atk_add,4,62,79,96,113,130,147,164,181,198,215,232,249,266,283,300,368,17
atk_add_5,atk_add,5,80,100,120,140,160,180,200,220,240,260,280,300,320,340,360,440,20
atk_add_6,atk_add,6,96,118,140,162,184,206,228,250,272,294,316,338,360,382,404,492,22
atk_add_7,atk_add,7,192,236,280,324,368,412,456,500,544,588,632,676,720,764,808,984,44
def_add_1,def_add,1,21,31,41,51,61,71,81,91,101,111,121,131,141,151,161,201,10
def_add_2,def_add,2,29,41,53,65,77,89,101,113,125,137,149,161,173,185,197,245,12
def_add_3,def_add,3,41,56,71,86,101,116,131,146,161,176,191,206,221,236,251,311,15
def_add_4,def_add,4,62,79,96,113,130,147,164,181,198,215,232,249,266,283,300,368,17
def_add_5,def_add,5,80,100,120,140,160,180,200,220,240,260,280,300,320,340,360,440,20
def_add_6,def_add,6,96,118,140,162,184,206,228,250,272,294,316,338,360,382,404,492,22
def_add_7,def_add,7,192,236,280,324,368,412,456,500,544,588,632,676,720,764,808,984,44
hp_add_1,hp_add,1,1470,2170,2870,3570,4270,4970,5670,6370,7070,7770,8470,9170,9870,10570,11270,14070,700
hp_add_2,hp_add,2,2030,2870,3710,4550,5390,6230,7070,7910,8750,9590,10430,11270,12110,12950,13790,17150,840
hp_add_3,hp_add,3,2870,3920,4970,6020,7070,8120,9170,10220,11270,12320,13370,14420,15470,16520,17570,21770,1050
hp_add_4,hp_add,4,4340,5530,6720,7910,9100,10290,11480,12670,13860,15050,16240,17430,18620,19810,21000,25760,1190
hp_add_5,hp_add,5,5600,7000,8400,9800,11200,12600,14000,15400,16800,18200,19600,21000,22400,23800,25200,30800,1400
hp_add_6,hp_add,6,6720,8260,9800,11340,12880,14420,15960,17500,19040,20580,22120,23660,25200,26740,28280,34440,1540
hp_add_7,hp_add,7,13440,15490,17540,19590,21640,23690,25740,27790,29840,31890,33940,35990,38040,40090,42140,50340,2050
aspd_add_1,aspd_add,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,19,1
aspd_add_2,aspd_add,2,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,1
aspd_add_3,aspd_add,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,22,1
aspd_add_4,aspd_add,4,5,6,7,8,9,11,12,13,14,15,16,17,18,19,20,25,1.1
aspd_add_5,aspd_add,5,8,10,11,13,14,16,17,19,20,22,23,25,26,28,29,35,1.5
aspd_add_6,aspd_add,6,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,46,2
aspd_add_7,aspd_add,7,16,19,21,23,25,27,29,31,33,35,37,39,41,43,45,55,2.5
atk_multi_1,atk_multi,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,19,1
atk_multi_2,atk_multi,2,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,1
atk_multi_3,atk_multi,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,22,1
atk_multi_4,atk_multi,4,5,6,7,8,9,11,12,13,14,15,16,17,18,19,20,25,1.1
atk_multi_5,atk_multi,5,8,10,11,13,14,16,17,19,20,22,23,25,26,28,29,35,1.5
atk_multi_6,atk_multi,6,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,46,2
atk_multi_7,atk_multi,7,16,19,21,23,25,27,29,31,33,35,37,39,41,43,45,55,2.5
def_multi_1,def_multi,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,19,1
def_multi_2,def_multi,2,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,1
def_multi_3,def_multi,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,22,1
def_multi_4,def_multi,4,5,6,7,8,9,11,12,13,14,15,16,17,18,19,20,25,1.1
def_multi_5,def_multi,5,8,10,11,13,14,16,17,19,20,22,23,25,26,28,29,35,1.5
def_multi_6,def_multi,6,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,46,2
def_multi_7,def_multi,7,16,19,21,23,25,27,29,31,33,35,37,39,41,43,45,55,2.5
hp_multi_1,hp_multi,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,19,1
