week,attr
201906,earth
201907,water
201908,earth
201909,water
201910,fire
201911,light
201912,dark
201913,earth
201914,water
201915,fire
201916,light
201917,dark
201918,earth
201919,water
201920,fire
201921,light
201922,dark
201923,earth
201924,water
201925,fire
201926,light
201927,dark
201928,earth
201929,water
201930,fire
201931,light
201932,dark
201933,earth
201934,water
201935,fire
201936,light
201937,dark
201938,earth
201939,water
201940,fire
201941,light
201942,dark
201943,earth
201944,water
201945,fire
201946,light
201947,dark
201948,earth
201949,water
201950,fire
201951,light
201952,dark
201953,earth
202001,earth
202002,water
202003,fire
202004,light
202005,dark
202006,earth
202007,water
202008,fire
202009,light
202010,dark
202011,earth
202012,water
202013,fire
202014,light
202015,dark
202016,earth
202017,water
202018,fire
202019,light
202020,dark
202021,earth
202022,water
202023,fire
202024,light
202025,dark
202026,earth
202027,water
202028,fire
202029,light
202030,dark
202031,earth
202032,water
202033,fire
202034,light
202035,dark
202036,earth
202037,water
202038,fire
202039,light
202040,dark
202041,earth
202042,water
202043,fire
202044,light
202045,dark
202046,earth
202047,water
202048,fire
202049,light
202050,dark
202051,earth
202052,water
202053,fire
202101,fire
202102,light
202103,dark
202104,earth
202105,water
202106,fire
202107,light
202108,dark
202109,earth
202110,water
202111,fire
202112,light
202113,dark
202114,earth
202115,water
202116,fire
202117,light
202118,dark
202119,earth
202120,water
202121,fire
202122,light
202123,dark
202124,earth
202125,water
202126,fire
202127,light
202128,dark
202129,earth
202130,water
202131,fire
202132,light
202133,dark
202134,earth
202135,water
202136,fire
202137,light
202138,dark
202139,earth
202140,water
202141,fire
202142,light
202143,dark
202144,earth
202145,water
202146,fire
202147,light
202148,dark
202149,earth
202150,water
202151,fire
202152,light
202153,dark
202201,dark
202202,earth
202203,water
202204,fire
202205,light
202206,dark
202207,earth
202208,water
202209,fire
202210,light
202211,dark
202212,earth
202213,water
202214,fire
202215,light
202216,dark
202217,earth
202218,water
202219,fire
202220,light
202221,dark
202222,earth
202223,water
202224,fire
202225,light
202226,dark
202227,earth
202228,water
202229,fire
202230,light
202231,dark
202232,earth
202233,water
202234,fire
202235,light
202236,dark
202237,earth
202238,water
202239,fire
202240,light
202241,dark
202242,earth
202243,water
202244,fire
202245,light
202246,dark
202247,earth
202248,water
202249,fire
202250,light
202251,dark
202252,earth
202253,water
202301,water
202302,fire
202303,light
202304,dark
202305,earth
202306,water
202307,fire
202308,light
202309,dark
202310,earth
202311,water
202312,fire
202313,light
202314,dark
202315,earth
202316,water
202317,fire
202318,light
202319,dark
202320,earth
202321,water
202322,fire
202323,light
202324,dark
202325,earth
202326,water
202327,fire
202328,light
202329,dark
202330,earth
202331,water
202332,fire
202333,light
202334,dark
202335,earth
202336,water
202337,fire
202338,light
202339,dark
202340,earth
202341,water
202342,fire
202343,light
202344,dark
202345,earth
202346,water
202347,fire
202348,light
202349,dark
202350,earth
202351,water
202352,fire
202353,light
202401,light
202402,dark
202403,earth
202404,water
202405,fire
202406,light
202407,dark
202408,earth
202409,water
202410,fire
202411,light
202412,dark
202413,earth
202414,water
202415,fire
202416,light
202417,dark
202418,earth
202419,water
202420,fire
202421,light
202422,dark
202423,earth
202424,water
202425,fire
202426,light
202427,dark
202428,earth
202429,water
202430,fire
202431,light
202432,dark
202433,earth
202434,water
202435,fire
202436,light
202437,dark
202438,earth
202439,water
202440,fire
202441,light
202442,dark
202443,earth
202444,water
202445,fire
202446,light
202447,dark
202448,earth
202449,water
202450,fire
202451,light
202452,dark
202453,earth
202501,earth
202502,water
