id,item_id,grade,common_rate,rare_rate,hero_rate,legend_rate,r_rarity_sum
70065101,700651,1,400,300,200,100,1000
70065102,700651,2,400,300,200,100,1000
70065103,700651,3,400,300,200,100,1000
70065104,700651,4,400,300,200,100,1000
70065105,700651,5,400,300,200,100,1000
70065106,700651,6,100,300,400,200,1000
70065107,700651,7,100,400,400,100,1000
70065201,700652,1,400,300,200,100,1000
70065202,700652,2,400,300,200,100,1000
70065203,700652,3,400,300,200,100,1000
70065204,700652,4,400,300,200,100,1000
70065205,700652,5,400,300,200,100,1000
70065206,700652,6,100,300,400,200,1000
70065207,700652,7,100,400,400,100,1000
