pickup_id,ui_priority,did,r_name,start_date,end_date,return_date,res_bg,res_text,r_comment
100001,1,121752,물 데스락,2024-01-25 00:00:00,2024-02-01 00:00:00,,res/ui/event/myth/bg_hatchery_myth_01.png,ui/typo/#/summon_chance_up_myth_btn_0101.png,
100002,2,121643,불 탈릿사,2023-11-08 00:00:00,2023-11-15 00:00:00,,res/ui/event/myth/bg_hatchery_myth_02.png,ui/typo/#/summon_chance_up_myth_btn_0201.png,
100003,3,121735,어둠 세에레,2023-12-21 00:00:00,2024-01-04 00:00:00,,res/ui/event/myth/bg_hatchery_myth_01.png,ui/typo/#/summon_chance_up_myth_btn_0101.png,
100004,4,121765,어둠 마카라,2023-12-07 00:00:00,2023-12-14 00:00:00,,res/ui/event/myth/bg_hatchery_myth_02.png,ui/typo/#/summon_chance_up_myth_btn_0201.png,
100005,5,121771,땅 헤네스,2023-12-14 00:00:00,2023-12-21 00:00:00,,res/ui/event/myth/bg_hatchery_myth_01.png,ui/typo/#/summon_chance_up_myth_btn_0101.png,
100006,6,121784,빛 템페렌티나,2024-01-18 00:00:00,2024-02-01 00:00:00,,res/ui/event/myth/bg_hatchery_myth_02.png,ui/typo/#/summon_chance_up_myth_btn_0201.png,
100007,7,121792,물 카스티타스,2023-11-15 00:00:00,2023-11-21 01:00:00,,res/ui/event/myth/bg_hatchery_myth_03.png,ui/typo/#/summon_chance_up_myth_btn_0301.png,
100008,8,121804,빛 밀라타스,2024-02-01 00:00:00,2024-02-15 00:00:00,,res/ui/event/myth/bg_hatchery_myth_03.png,ui/typo/#/summon_chance_up_myth_btn_0301.png,
100009,9,121813,불 에피트,2024-02-01 00:00:00,2024-02-08 00:00:00,,res/ui/event/myth/bg_hatchery_myth_03.png,ui/typo/#/summon_chance_up_myth_btn_0301.png,
100010,10,121821,땅 글루토니,2024-02-08 00:00:00,2024-02-15 00:00:00,,res/ui/event/myth/bg_hatchery_myth_01.png,ui/typo/#/summon_chance_up_myth_btn_0301.png,
100011,11,121833,불 페티아,2023-11-29 00:00:00,2023-12-07 00:00:00,,res/ui/event/myth/bg_hatchery_myth_03.png,ui/typo/#/summon_chance_up_myth_btn_0301.png,
100012,12,121842,물 엔비,2023-12-21 00:00:00,2023-12-28 00:00:00,,res/ui/event/myth/bg_hatchery_myth_03.png,ui/typo/#/summon_chance_up_myth_btn_0301.png,
100013,13,121854,빛 인스트리아,2023-11-15 00:00:00,2023-11-29 00:00:00,,res/ui/event/myth/bg_hatchery_myth_03.png,ui/typo/#/summon_chance_up_myth_btn_0301.png,
100014,14,121861,땅 오베론,2023-11-01 00:00:00,2023-11-15 00:00:00,,res/ui/event/myth/bg_hatchery_myth_03.png,ui/typo/#/summon_chance_up_myth_btn_0301.png,
100015,15,121875,어둠 프라이드,2024-01-04 00:00:00,2024-01-18 00:00:00,,res/ui/event/myth/bg_hatchery_myth_03.png,ui/typo/#/summon_chance_up_myth_btn_0301.png,
100016,16,121882,물 라루스,2023-12-07 00:00:00,2023-12-21 00:00:00,,res/ui/event/myth/bg_hatchery_myth_03.png,ui/typo/#/summon_chance_up_myth_btn_0301.png,
100017,17,121894,빛 포너,2024-01-11 00:00:00,2024-01-18 00:00:00,,res/ui/event/myth/bg_hatchery_myth_03.png,ui/typo/#/summon_chance_up_myth_btn_0301.png,
100018,18,121901,땅 베네보렌티아,2024-01-18 00:00:00,2024-01-25 00:00:00,,res/ui/event/myth/bg_hatchery_myth_03.png,ui/typo/#/summon_chance_up_myth_btn_0301.png,
100019,19,121913,불 라스,2023-10-25 00:00:00,2023-11-01 00:00:00,2023-06-15 00:00:00,res/ui/event/myth/bg_hatchery_myth_03.png,ui/typo/#/summon_chance_up_myth_btn_0301.png,
100020,20,121925,어둠 그리드,2023-11-01 00:00:00,2023-11-08 00:00:00,2023-06-15 00:00:00,res/ui/event/myth/bg_hatchery_myth_03.png,ui/typo/#/summon_chance_up_myth_btn_0301.png,
100021,21,121933,불 마카롱,2023-12-28 00:00:00,2024-01-04 00:00:00,,res/ui/event/myth/bg_hatchery_myth_03.png,ui/typo/#/summon_chance_up_myth_btn_0301.png,
100022,22,121941,땅 네무스,2023-10-04 00:00:00,2023-10-18 00:00:00,,res/ui/event/myth/bg_hatchery_myth_03.png,ui/typo/#/summon_chance_up_myth_btn_0301.png,
100023,23,121975,어둠 바르그,2023-10-25 00:00:00,2023-11-01 00:00:00,,res/ui/event/myth/bg_hatchery_myth_03.png,ui/typo/#/summon_chance_up_myth_btn_0301.png,
100024,24,121981,땅 카네드,2023-10-18 00:00:00,2023-10-25 00:00:00,,res/ui/event/myth/bg_hatchery_myth_03.png,ui/typo/#/summon_chance_up_myth_btn_0301.png,
100025,25,121993,불 칼리시,2024-01-04 00:00:00,2024-01-11 00:00:00,,res/ui/event/myth/bg_hatchery_myth_03.png,ui/typo/#/summon_chance_up_myth_btn_0301.png,
100026,26,121962,물 레슬로,2023-10-11 00:00:00,2023-10-25 00:00:00,2023-10-11 00:00:00,res/ui/event/myth/bg_hatchery_myth_03.png,ui/typo/#/summon_chance_up_myth_btn_0301.png,
100027,27,122082,물 체스토,2023-11-21 01:00:00,2023-12-07 00:00:00,,res/ui/event/myth/bg_hatchery_myth_03.png,ui/typo/#/summon_chance_up_myth_btn_0301.png,
