id,date,r_count,r_date,type,r_name,value,hour,badge,t_desc,r_comment,notice_date
20201116_01,20201116,1,2020. 11. 16 (월),exp_up,모험 드래곤 경험치 증가,0.5,2,,,,
20201117_01,20201117,1,2020. 11. 17 (화),exp_up,모험 드래곤 경험치 증가,0.5,2,,,,
20201118_01,20201118,1,2020. 11. 18 (수),exp_up,모험 드래곤 경험치 증가,0.5,2,,,,
20201119_01,20201119,1,2020. 11. 19 (목),exp_up,모험 드래곤 경험치 증가,0.5,2,,,,
20201120_01,20201120,1,2020. 11. 20 (금),exp_up,모험 드래곤 경험치 증가,0.5,2,,,,
20201121_01,20201121,1,2020. 11. 21 (토),exp_up,모험 드래곤 경험치 증가,1,2,,,,
20201122_01,20201122,1,2020. 11. 22 (일),exp_up,모험 드래곤 경험치 증가,1,2,,,,
20201123_01,20201123,1,2020. 11. 23 (월),exp_up,모험 드래곤 경험치 증가,0.5,2,,,,
20201124_01,20201124,1,2020. 11. 24 (화),exp_up,모험 드래곤 경험치 증가,0.5,2,,,,
20201125_01,20201125,1,2020. 11. 25 (수),exp_up,모험 드래곤 경험치 증가,0.5,2,,,,
20201126_01,20201126,1,2020. 11. 26 (목),exp_up,모험 드래곤 경험치 증가,0.5,2,,,,
20201127_01,20201127,1,2020. 11. 27 (금),exp_up,모험 드래곤 경험치 증가,0.5,2,,,,
20201128_01,20201128,1,2020. 11. 28 (토),exp_up,모험 드래곤 경험치 증가,1,2,,,,
20201129_01,20201129,1,2020. 11. 29 (일),exp_up,모험 드래곤 경험치 증가,1,2,,,,
20201130_01,20201130,1,2020. 11. 30 (월),exp_up,모험 드래곤 경험치 증가,0.5,2,,,,
20201201_01,20201201,1,2020. 12. 1 (화),exp_up,모험 드래곤 경험치 증가,0.5,2,,,,
20201202_01,20201202,1,2020. 12. 2 (수),exp_up,모험 드래곤 경험치 증가,0.5,2,,,,
20201203_01,20201203,1,2020. 12. 3 (목),exp_up,모험 드래곤 경험치 증가,0.5,2,,,,
20201204_01,20201204,1,2020. 12. 4 (금),exp_up,모험 드래곤 경험치 증가,0.5,2,,,,
20201205_01,20201205,1,2020. 12. 5 (토),exp_up,모험 드래곤 경험치 증가,1,2,,,,
20201206_01,20201206,1,2020. 12. 6 (일),exp_up,모험 드래곤 경험치 증가,1,2,,,,
20201207_01,20201207,1,2020. 12. 7 (월),exp_up,모험 드래곤 경험치 증가,0.5,2,,,,
20201208_01,20201208,1,2020. 12. 8 (화),exp_up,모험 드래곤 경험치 증가,0.5,2,,,,
20201209_01,20201209,1,2020. 12. 9 (수),exp_up,모험 드래곤 경험치 증가,0.5,2,,,,
20201210_01,20201210,1,2020. 12. 10 (목),exp_up,모험 드래곤 경험치 증가,0.5,2,,,,
20201211_01,20201211,1,2020. 12. 11 (금),exp_up,모험 드래곤 경험치 증가,0.5,2,,,,
20201212_01,20201212,1,2020. 12. 12 (토),exp_up,모험 드래곤 경험치 증가,1,2,,,,
20201213_01,20201213,1,2020. 12. 13 (일),exp_up,모험 드래곤 경험치 증가,1,2,,,,
20201214_01,20201214,1,2020. 12. 14 (월),exp_up,모험 드래곤 경험치 증가,0.5,2,,,,
20201215_01,20201215,1,2020. 12. 15 (화),exp_up,모험 드래곤 경험치 증가,0.5,2,,,,
20201216_01,20201216,1,2020. 12. 16 (수),exp_up,모험 드래곤 경험치 증가,0.5,2,,,,
20201217_01,20201217,1,2020. 12. 17 (목),exp_up,모험 드래곤 경험치 증가,0.5,2,,,,
20201218_01,20201218,1,2020. 12. 18 (금),exp_up,모험 드래곤 경험치 증가,0.5,2,,,,
20201219_01,20201219,1,2020. 12. 19 (토),exp_up,모험 드래곤 경험치 증가,1,2,,,,
20201220_01,20201220,1,2020. 12. 20 (일),exp_up,모험 드래곤 경험치 증가,1,2,,,,
20201221_01,20201221,1,2020. 12. 21 (월),exp_up,모험 드래곤 경험치 증가,0.5,2,,,,
20201222_01,20201222,1,2020. 12. 22 (화),exp_up,모험 드래곤 경험치 증가,0.5,2,,,,
20201223_01,20201223,1,2020. 12. 23 (수),exp_up,모험 드래곤 경험치 증가,0.5,2,,,,
20201224_01,20201224,1,2020. 12. 24 (목),exp_up,모험 드래곤 경험치 증가,0.5,2,,,,
20201225_01,20201225,1,2020. 12. 25 (금),exp_up,모험 드래곤 경험치 증가,0.5,2,,,,
20201226_01,20201226,1,2020. 12. 26 (토),exp_up,모험 드래곤 경험치 증가,1,2,,,,
20201227_01,20201227,1,2020. 12. 27 (일),exp_up,모험 드래곤 경험치 증가,1,2,,,,
20201228_01,20201228,1,2020. 12. 28 (월),exp_up,모험 드래곤 경험치 증가,0.5,2,,,,
20201229_01,20201229,1,2020. 12. 29 (화),exp_up,모험 드래곤 경험치 증가,0.5,2,,,,
20201230_01,20201230,1,2020. 12. 30 (수),exp_up,모험 드래곤 경험치 증가,0.5,2,,,,
20201231_01,20201231,1,2020. 12. 31 (목),exp_up,모험 드래곤 경험치 증가,0.5,2,,,,
20210101_01,20210101,1,2021. 1. 1 (금),exp_up,모험 드래곤 경험치 증가,0.5,2,,,,
20210102_01,20210102,1,2021. 1. 2 (토),exp_up,모험 드래곤 경험치 증가,1,2,,,,
20210103_01,20210103,1,2021. 1. 3 (일),exp_up,모험 드래곤 경험치 증가,1,2,,,,
20210104_01,20210104,1,2021. 1. 4 (월),exp_up,모험 드래곤 경험치 증가,0.5,2,,,,
20210105_01,20210105,1,2021. 1. 5 (화),exp_up,모험 드래곤 경험치 증가,0.5,2,,,,
20210106_01,20210106,1,2021. 1. 6 (수),exp_up,모험 드래곤 경험치 증가,0.5,2,,,,
20210107_01,20210107,1,2021. 1. 7 (목),exp_up,모험 드래곤 경험치 증가,0.5,2,,,,
20210108_01,20210108,1,2021. 1. 8 (금),exp_up,모험 드래곤 경험치 증가,0.5,2,,,,
20210109_01,20210109,1,2021. 1. 9 (토),exp_up,모험 드래곤 경험치 증가,1,2,,,,
20210110_01,20210110,1,2021. 1. 10 (일),exp_up,모험 드래곤 경험치 증가,1,2,,,,
20210111_01,20210111,1,2021. 1. 11 (월),exp_up,모험 드래곤 경험치 증가,0.5,2,,,,
20210112_01,20210112,1,2021. 1. 12 (화),exp_up,모험 드래곤 경험치 증가,0.5,2,,,,
20210113_01,20210113,1,2021. 1. 13 (수),exp_up,모험 드래곤 경험치 증가,0.5,2,,,,
20210114_01,20210114,1,2021. 1. 14 (목),exp_up,모험 드래곤 경험치 증가,0.5,2,,,,
20210115_01,20210115,1,2021. 1. 15 (금),exp_up,모험 드래곤 경험치 증가,0.5,2,,,,
20210116_01,20210116,1,2021. 1. 16 (토),exp_up,모험 드래곤 경험치 증가,1,2,,,,
20210117_01,20210117,1,2021. 1. 17 (일),exp_up,모험 드래곤 경험치 증가,1,2,,,,
20210118_01,20210118,1,2021. 1. 18 (월),exp_up,모험 드래곤 경험치 증가,0.5,2,,,,
20210119_01,20210119,1,2021. 1. 19 (화),exp_up,모험 드래곤 경험치 증가,0.5,2,,,,
20210120_01,20210120,1,2021. 1. 20 (수),exp_up,모험 드래곤 경험치 증가,0.5,2,,,,
20210121_01,20210121,1,2021. 1. 21 (목),exp_up,모험 드래곤 경험치 증가,0.5,2,,,,
20210122_01,20210122,1,2021. 1. 22 (금),exp_up,모험 드래곤 경험치 증가,0.5,2,,,,
20210123_01,20210123,1,2021. 1. 23 (토),exp_up,모험 드래곤 경험치 증가,1,2,,,,
20210124_01,20210124,1,2021. 1. 24 (일),exp_up,모험 드래곤 경험치 증가,1,2,,,,
20210125_01,20210125,1,2021. 1. 25 (월),exp_up,모험 드래곤 경험치 증가,0.5,2,,,,
20210126_01,20210126,1,2021. 1. 26 (화),exp_up,모험 드래곤 경험치 증가,0.5,2,,,,
20210127_01,20210127,1,2021. 1. 27 (수),exp_up,모험 드래곤 경험치 증가,0.5,2,,,,
20210128_01,20210128,1,2021. 1. 28 (목),exp_up,모험 드래곤 경험치 증가,0.5,2,,,,
20210129_01,20210129,1,2021. 1. 29 (금),exp_up,모험 드래곤 경험치 증가,0.5,2,,,,
20210130_01,20210130,1,2021. 1. 30 (토),exp_up,모험 드래곤 경험치 증가,1,2,,,,
20210131_01,20210131,1,2021. 1. 31 (일),exp_up,모험 드래곤 경험치 증가,1,2,,,,
20210201_01,20210201,1,2021. 2. 1 (월),exp_up,모험 드래곤 경험치 증가,0.5,2,,,,
