supply_id,product_id,type,t_name,ui_priority,r_price,period,period_option,product_content,daily_content,t_desc
1001,120111,daily_cash,30일 다이아 보급,10,11000,30,1,cash;3300,cash;2000,
1002,120121,auto_pickup,14일 자동 줍기,-1,3300,14,0,cash;900,,
1003,120131,daily_quest,14일 일일 퀘스트 보상 2배,50,5500,14,1,cash;1590,,
1004,120141,daily_gold,14일 골드 보급,20,5500,14,1,cash;1590,gold;1000000,
1005,120151,daily_stamina,14일 날개 보급,30,5500,14,1,cash;1590,700101;1500,
1006,120201,auto_pickup,14일 자동 줍기,-1,3300,14,0,,,
1007,,,,,,,,,,
1008,,,,,,,,,,
1009,120161,clear_ticket,7일 소탕,40,3300,7,0,cash;900,,
1010,120162,clear_ticket,30일 소탕,41,11000,30,0,cash;3300,,
1011,120207,clear_ticket,7일 소탕,-1,3300,7,0,,,
1012,120152,daily_stamina2,30일 날개 보급,30,33000,30,1,cash;10200,700101;10000,
1013,130302,daily_cash,30일 다이아 보급(특가),-1,1500,30,1,cash;3300,cash;2000,
