stage,difficult,chapter_info,stage_info,reward_1,value_1,reward_2,value_2,reward_3,value_3,reward_4,value_4
11012,easy,챕터1,스테이지2,700002,1,701011,5,703001,20,702011,10
11014,easy,챕터1,스테이지4,700002,1,701011,5,703001,20,702021,10
11016,easy,챕터1,스테이지6,700002,1,701011,5,703001,20,702031,10
11018,easy,챕터1,스테이지8,700002,2,701011,10,703001,40,702041,10
11022,easy,챕터2,스테이지2,700002,1,701021,5,703001,20,702051,10
11024,easy,챕터2,스테이지4,700002,1,701021,5,703001,20,702061,10
11026,easy,챕터2,스테이지6,700002,1,701021,5,703001,20,702071,10
11028,easy,챕터2,스테이지8,700002,2,701021,10,703001,40,702101,5
11032,easy,챕터3,스테이지2,700002,2,701031,5,703001,25,702081,10
11034,easy,챕터3,스테이지4,700002,2,701031,5,703001,25,702091,10
11036,easy,챕터3,스테이지6,700002,2,701031,5,703001,25,702011,10
11038,easy,챕터3,스테이지8,700002,4,701031,10,703001,50,702021,10
11042,easy,챕터4,스테이지2,700002,2,701041,5,703001,25,702031,10
11044,easy,챕터4,스테이지4,700002,2,701041,5,703001,25,702041,10
11046,easy,챕터4,스테이지6,700002,2,701041,5,703001,25,702051,10
11048,easy,챕터4,스테이지8,700002,4,701041,10,703001,50,702101,5
11052,easy,챕터5,스테이지2,700002,3,701051,5,703001,30,702061,10
11054,easy,챕터5,스테이지4,700002,3,701051,5,703001,30,702071,10
11056,easy,챕터5,스테이지6,700002,3,701051,5,703001,30,702081,10
11058,easy,챕터5,스테이지8,700002,6,701051,10,703001,60,702091,10
11062,easy,챕터6,스테이지2,700002,3,701061,5,703001,30,702011,10
11064,easy,챕터6,스테이지4,700002,3,701061,5,703001,30,702021,10
11066,easy,챕터6,스테이지6,700002,3,701061,5,703001,30,702031,10
11068,easy,챕터6,스테이지8,700002,6,701061,10,703001,60,702101,5
12012,normal,챕터1,스테이지2,700002,1,701011,5,703001,20,702041,10
12014,normal,챕터1,스테이지4,700002,1,701011,5,703001,20,702051,10
12016,normal,챕터1,스테이지6,700002,1,701011,5,703001,20,702061,10
12018,normal,챕터1,스테이지8,700002,2,701011,10,703001,40,702071,10
12022,normal,챕터2,스테이지2,700002,1,701021,5,703001,20,702081,10
12024,normal,챕터2,스테이지4,700002,1,701021,5,703001,20,702091,10
12026,normal,챕터2,스테이지6,700002,1,701021,5,703001,20,702011,10
12028,normal,챕터2,스테이지8,700002,2,701021,10,703001,40,702101,5
12032,normal,챕터3,스테이지2,700002,2,701031,5,703001,25,702021,10
12034,normal,챕터3,스테이지4,700002,2,701031,5,703001,25,702031,10
12036,normal,챕터3,스테이지6,700002,2,701031,5,703001,25,702041,10
12038,normal,챕터3,스테이지8,700002,4,701031,10,703001,50,702051,10
12042,normal,챕터4,스테이지2,700002,2,701041,5,703001,25,702061,10
12044,normal,챕터4,스테이지4,700002,2,701041,5,703001,25,702071,10
12046,normal,챕터4,스테이지6,700002,2,701041,5,703001,25,702081,10
12048,normal,챕터4,스테이지8,700002,4,701041,10,703001,50,702101,5
12052,normal,챕터5,스테이지2,700002,3,701051,5,703001,30,702091,10
12054,normal,챕터5,스테이지4,700002,3,701051,5,703001,30,702011,10
12056,normal,챕터5,스테이지6,700002,3,701051,5,703001,30,702021,10
12058,normal,챕터5,스테이지8,700002,6,701051,10,703001,60,702031,10
12062,normal,챕터6,스테이지2,700002,3,701061,5,703001,30,702041,10
12064,normal,챕터6,스테이지4,700002,3,701061,5,703001,30,702051,10
12066,normal,챕터6,스테이지6,700002,3,701061,5,703001,30,702061,10
12068,normal,챕터6,스테이지8,700002,6,701061,10,703001,60,702101,5
13012,hard,챕터1,스테이지2,700002,1,701011,5,703001,20,702071,10
13014,hard,챕터1,스테이지4,700002,1,701011,5,703001,20,702081,10
13016,hard,챕터1,스테이지6,700002,1,701011,5,703001,20,702091,10
13018,hard,챕터1,스테이지8,700002,2,701011,10,703001,40,702011,10
13022,hard,챕터2,스테이지2,700002,1,701021,5,703001,20,702021,10
13024,hard,챕터2,스테이지4,700002,1,701021,5,703001,20,702031,10
13026,hard,챕터2,스테이지6,700002,1,701021,5,703001,20,702041,10
13028,hard,챕터2,스테이지8,700002,2,701021,10,703001,40,702101,5
13032,hard,챕터3,스테이지2,700002,2,701031,5,703001,25,702051,10
13034,hard,챕터3,스테이지4,700002,2,701031,5,703001,25,702061,10
13036,hard,챕터3,스테이지6,700002,2,701031,5,703001,25,702071,10
13038,hard,챕터3,스테이지8,700002,4,701031,10,703001,50,702081,10
13042,hard,챕터4,스테이지2,700002,2,701041,5,703001,25,702091,10
13044,hard,챕터4,스테이지4,700002,2,701041,5,703001,25,702011,10
13046,hard,챕터4,스테이지6,700002,2,701041,5,703001,25,702021,10
13048,hard,챕터4,스테이지8,700002,4,701041,10,703001,50,702101,5
13052,hard,챕터5,스테이지2,700002,3,701051,5,703001,30,702031,10
13054,hard,챕터5,스테이지4,700002,3,701051,5,703001,30,702041,10
13056,hard,챕터5,스테이지6,700002,3,701051,5,703001,30,702051,10
13058,hard,챕터5,스테이지8,700002,6,701051,10,703001,60,702061,10
13062,hard,챕터6,스테이지2,700002,3,701061,5,703001,30,702071,10
13064,hard,챕터6,스테이지4,700002,3,701061,5,703001,30,702081,10
13066,hard,챕터6,스테이지6,700002,3,701061,5,703001,30,702091,10
13068,hard,챕터6,스테이지8,700002,6,701061,10,703001,60,702101,5
