page,bg,illustration,char,t_char_name,char_pos,char_ani,char_effect,r_scen,t_text,text_pos,text_type,auto_skip,effect_1,effect_2,effect_3,bgm,bgm_action,sound
1,,,,,,,,,,,,3,title;복수의 서막,skip_disable,,,,
2,,,,,,,,,,,,0.3,skip_disable,,,,,
3,,,,,,,,,잔혹한 기억은 분노만을 낳으며 어둠의 영혼을 물들였고,,narrate,,,,,,,
4,,,,,,,,,공허한 죽음은 끝없는 복수심이 되었다.,,narrate,,,,,,,
5,,,,,,,,,다크닉스가 욕망한 유일한 빛은 끝내 비추지 않았다,,narrate,,,,,,,
6,파멸의다크닉스노출,,파멸의 다크닉스,,right,fury,,,이것은 가장 고귀한 복수의 시작이며 빛에 대한 나의 관용이다.,,bold,,,,,,,
7,,,파멸의 다크닉스,,right,fury,,,모든 죄악의 빛에게 명하노니...,,bold,,,,,,,
8,,,파멸의 다크닉스,,right,fury,,,나의 어둠 앞에 파멸로써 영생하리라.,,bold,,,,,,,
9,프롤로그,,,,,,,,,,,,vrp;scene_4_disappear,,,,,
10,,,,,,,,,,,,,white_in,,,,,
