page,bg,illustration,char,t_char_name,char_pos,char_ani,char_effect,r_scen,t_text,text_pos,text_type,auto_skip,effect_1,effect_2,effect_3,bgm,bgm_action,sound
1,,,,,,,,,,,,3,title;유일한 빛,skip_disable,,,,
2,,,,,,,,,,,,0.3,skip_disable,,,,,
3,,,,,,,,,'너무나도 한심하다... 이리 나약한 존재가 삶을 살아간다니!',,narrate,,,,,,,
4,,,,,,,,,다크닉스는 수많은 생명을 살리면서도 이들의 약함에 한숨이 나왔다.,,narrate,,,,,,,
5,,,,,,,,,"하지만 그런 생각이 들 때면, 마이아 아오라의 목소리가 어디선가 들려오는 기분이었다.",,narrate,,,,,,,
6,,,,,,,,,'당신의 어둠은 빛이 닿을 수 없는 곳을 지켜주겠죠.',,narrate,,,,,,,
7,,,,,,,,,'모든 생명은 소중해요. 어둠에 갇힌 생명마저도요.',,narrate,,,,,,,
8,,,,,,,,,마지막 마이아 아오라의 말이 흐릿해지자 불안감이 엄습해왔다.,,narrate,,,,,,,
9,프롤로그,,,,,,,,,,,,vrp;scene_3_appear,,,,,
10,,,,,,,,,,,,,vrp;scene_3_idle,,,,,
11,,,,,,,,,그 순간 하늘을 뒤덮을 정도의 강렬한 빛줄기가 하늘 높이 솟아올랐다.,,narrate,,,,,,,
12,,,,,,,,,다크닉스의 시선은 본능적으로 빛의 위치를 알고 있었다.,,narrate,,,,,,,
13,,,다크닉스2,다크닉스,right,idle,,,...아오라!!!,,bold,,,,,,,
