page,effect_1,effect_2,effect_3,bg,auto_skip,t_text,text_type,text_pos,text_color,char,t_char_name,char_pos,char_effect,char_ani,bgm,bgm_action,sound
1,title;프롤로그,,next_disable,,4,,,,,,,,,,bgm_dungeon_midboss,,
2,,,,,3,빛의 신 아모르와 파괴의 신 카데스의 전쟁.,narrate,,,,,,,,,,
3,,,,,3,세상 만물들도 그들과 함께 두 편으로 갈라섰다.,narrate,,,,,,,,,,
4,,,,,3,태초부터 시작된 이들의 싸움으로 세상은 점차 피폐해져 갔다.,narrate,,,,,,,,,,
5,clear_text,,,,0,,,,,,,,,,,,
6,vrp;scene_1_appear,,,프롤로그,,,,,,,,,,,,,
7,vrp;scene_1_idle,,,,2,,,,,,,,,,,,
8,,,,,5,"어느 날, 하늘에서 내려온 두 마리 드래곤,",,bot,,,,,,,,,
9,,,,,5,고대신룡과 다크닉스.,,,,,,,,,,,
10,,,,,5,어둠의 세력들은 이 강력한 드래곤들의 힘 앞에서 먼지처럼 흩어졌다.,,,,,,,,,,,
11,,,,,5,빛은 승리했다.,,,,,,,,,,,
12,clear_text,,,,0,,,,,,,,,,,,
13,vrp;scene_1_disappear,,,,,,,,,,,,,,,,
14,,,,clear,1,,,,,,,,,,,,
15,,,,,3,그러나 살아남은 어둠의 존재들이 있었다.,narrate,,,,,,,,,,
16,,,,,3,그들은 이 세상 가장 음습한 곳에서 복수의 날을 기다렸다.,narrate,,,,,,,,,,
17,,,,,3,마침내 기회가 왔다.,narrate,,,,,,,,,,
18,clear_text,,,,0,,,,,,,,,,,,
19,,,,프롤로그,1,,,,,,,,,,,,
20,vrp;scene_2_appear,,,,,,,,,,,,,,,,
21,vrp;scene_2_idle,,,,2,,,,,,,,,,,,
22,,,,,5,복수의 칼을 뽑아 든 어둠이 마침내 빛의 결계를 넘었다.,,bot,,,,,,,,,
23,,,,,5,증오에 가득 찬 침략자들의 눈은 오직 하나만을 노려보고 있었다.,,,,,,,,,,,
24,,,,,5,"결계의 수호자이자, 신의 대리인 마이아 아오라.",,,,,,,,,,,
25,,,,,5,그녀는 홀로 거대한 파멸의 파도 앞에 나섰다.,,,,,,,,,,,
26,clear_text,,,,0,,,,,,,,,,,,
27,vrp;scene_2_disappear,,,,,,,,,,,,,,,,
28,flash,,,,2,,,,,,,,,,,,
29,vrp;scene_3_appear,,,,,,,,,,,,,,,,
30,vrp;scene_3_idle,,,,2,,,,,,,,,,,,
31,,,,,5,눈부신 빛줄기가 하늘 높이 솟아올랐다.,,,,,,,,,,,
32,,,,,5,거대한 빛의 기둥을 발견한 아모르의 드래곤들.,,,,,,,,,,,
33,,,,,5,다크닉스는 무언가 잘못되었다는 것을 직감했다.,,,,,,,,,,,
34,,,,,5,검은 드래곤은 사랑하는 그녀가 있는 곳을 향해 날아올랐다.,,,,,,,,,,,
35,clear_text,,,,0,,,,,,,,,,,,
36,vrp;scene_3_disappear,,,,,,,,,,,,,,,,
37,vrp;scene_4_appear,,,,,,,,,,,,,,,,
38,vrp;scene_4_idle,,,,2,,,,,,,,,,,,
39,,,,,5,다크닉스가 잿더미가 날리는 폐허에서 그녀를 발견했다.,,,,,,,,,,,
40,,,,,5,그녀의 몸에는 이미 생명의 온기가 남아있지 않았다.,,,,,,,,,,,
41,,,,,5,"슬픔이 그의 육체를 무너뜨리고, 분노가 그의 영혼을 집어삼켰다.",,,,,,,,,,,
42,,,,,5,이성을 잃은 검은 드래곤이 하늘을 향해 미친 듯이 울부짖었다.,,,,,,,,,,,
43,,,,,5,"""빛이여, 어둠이여! 나의 빛을 돌려놓아라.""",,,,,,,,,,,
44,,,,,5,"""만일 이 또한 너희 신들의 뜻이라면...""",,,,,,,,,,,
45,clear_text,,,,0,,,,,,,,,,,,
46,vrp;scene_4_disappear,,,,,,,,,,,,,,off,,prologue
47,white_in,,,,1,,,,,,,,,,,,
48,,,,,3,"""...이 세상 모두 무(無)로 돌리리라!""",narrate,,black,,,,,,,,
49,black_in,skip_disable,next_disable,,1,,,,,,,,,,,,
