page,bg,illustration,char,t_char_name,char_pos,char_ani,char_effect,r_scen,t_text,text_pos,text_type,auto_skip,effect_1,effect_2,effect_3,bgm,bgm_action,sound
1,,,,,,,,,,,,3,title;어둠과 빛,skip_disable,,,,
2,챕터10,,,,,,,,,,,0.3,skip_disable,,,bgm_dungeon_special,,
3,,,퀸즈 라미아,,right,,,,"크윽, 분하다.. 너희 같은 버러지들에게..",,,,,,,,,
4,,,고니,,left,fury,,,"누가할 소리, 사사건건 우리를 방해하는 게 누군데!",,,,,,,,,
5,,,퀸즈 라미아,,right,,,,"크으윽, 닥쳐라!",,,,,,,,,
6,,,퀸즈 라미아,,right,,,,나는.. 너희 같은 버러지들에게는 두 번 다시 지지 않아!,,,,,,,,,
7,,,케사스,,left,idle,,,아직도 정신을 못 차린 걸 보니 덜 맞은 거 같은데?,,,,,,,,,
8,,,퀸즈 라미아,,right,,,,"크크크, 맘대로 떠들어라! 이제부터가 진짜니까. 이 어둠의 정수만 있으면..",,,,,,,,,
9,,,퀸즈 라미아,,right,,,,꿀꺽꿀꺽..,,,,,,,,,
10,,,퀸즈 라미아,,right,,,,,,,0.5,skip_disable,clear_text,flash,,,
11,,,,,,,,,,,,0.5,skip_disable,flash,,,,
12,,,퀸즈 라미아,,right,,,,크아악! 뜨.. 뜨거워! 끼야아아악!,,,,,,,,,
13,,,퀸즈 라미아,,right,,,,,,,0.5,skip_disable,flash,clear_text,,,
14,,,퀸즈 라미아,,right,,,,,,,0.5,skip_disable,flash,shaking,,,
15,,,퀸즈 라미아,,right,,,,흐아악.. 모두 어둠의 뜻대로..,,,,shaking,,,,,
16,,,고니,,left,fury,,,뭐.. 뭐야? 저 녀석도 어둠에 잡아먹힌 거야?,,,,,,,,,
17,,,두른,,right,fury,,,"쯧쯧, 뭔지도 모르고 있었나보군. 순진하시긴..",,,,,,,,,
18,,,모코지,,left,sorrow,,,적이지만 안타깝네요..,,,,,,,,,
19,,,누리,,right,fury,,,때로는 죽이는 것도 인정이지.. 고통을 조금이라도 줄여주자.,,,,,,,,,
20,,,누리,,right,idle,,,"고니, 케사스. 부탁해.",,,,,,,,,
21,,,고니,,left,fury,,,그래요. 어쩔 수 없군요.,,,,,,,,,
22,,,케사스,,right,fury,,,"그래, 좋은 곳으로 보내주지!",,,,,,,,,
23,,,,,,,,,,,,1,black_in,skip_disable,,,,
