page,bg,illustration,char,t_char_name,char_pos,char_ani,char_effect,r_scen,t_text,text_pos,text_type,auto_skip,effect_1,effect_2,effect_3,bgm,bgm_action,sound
1,,,,,,,,,,,,3,title;고통 속에서도 꺼지지 않은 지혜,skip_disable,,,,
2,,,,,,,,,,,,0.3,skip_disable,,,bgm_sorrow,,
3,챕터4,,,,,,,,그들이 도착한 곳은 어쩌면 존재할 수도 있는 세계였다.,,,,,,,,,
4,,,거대한 빛,,right,idle,,,"[이곳에서, 인류와 드래곤은 마물과 괴물에게 패배하였구나]",,bold_italic,,,,,,,
5,,,,,,,,,첫번째 세계는 마물과 괴물들에 의해 멸망하여 타오르고 있는 세계,,,,,,,,,
6,,,작은 용,,left,thought,shaking,,작은 용은 피부를 타고 오르는 짙은 고통에 몸을 떨었다.,,,,,,,,,
7,,,,,,,,,모든 인간과 드래곤이 먹잇감으로 전락한 그 세계는 잔혹한 고통만이 가득했다.,,,,,,,,,
8,,,케사스,,right,fury,,,"""A포인트로 몬스터를 유인해주세요. 그다음 댐을 무너뜨려 길을 끊겠어요!""",,,,,,,,,
9,,,,,,,,,"하지만 그곳에서 어떤 소년은 남아있는 인류와 드래곤들을 모아서, 생존하기 위한 계획을 세운다.",,,,,,,,,
10,,,,,,,,,,,,1,black_in,skip_disable,,,,
11,,,,,,,,,,,,,,,,,,
