page,bg,illustration,char,t_char_name,char_pos,char_ani,char_effect,r_scen,t_text,text_pos,text_type,auto_skip,effect_1,effect_2,effect_3,bgm,bgm_action,sound
1,,,,,,,,,,,,3,title;정의 실현,skip_disable,,,,
2,,,,,,,,,,,,0.3,skip_disable,,,,,
3,번개고룡스토리4_1,,,,,,,,번개고룡의 압도적인 힘 앞에 검은 사도들은 속수무책이었다.,,bold,,,,,,,
4,번개고룡스토리4_1,,,,,,,,"검은 사도들은 후퇴하기 시작했고, 사로잡혔던 마이아와 왕들을 구해내었다.",,bold,,,,,,,
5,번개고룡스토리4_1,,,,,,,,번개고룡의 이름은 이노행성의 여러 대륙에 퍼져나갔다.,,bold,,,,,,,
6,번개고룡스토리4_1,,,,,,,,후퇴하던 검은 사도들은 번개고룡의 힘을 경험한 후 커다란 욕망에 사로잡힌다.,,bold,,,,,,,
7,챕터12,,검은로브 보스,검은 사도,right,idle,,,찾아라! 번개고룡의 알을!,,bold_italic,,,,,,,
8,챕터12,,검은로브 보스,검은 사도,right,idle,,,"크크크, 번개고룡의 힘은 곧 우리의 손아귀에 들어올 것이다.",,bold_italic,,,,,,,
9,,,,,,,,,"검은 사도들은 일제히 흩어져 드래곤 알을 찾아냈고, 이내 염화의 땅에서 번개고룡의 알을 발견하게 되었다.",,narrate,,,,,,,
10,챕터12,,검은로브 보스,검은 사도,right,idle,,,이 실험이 성공한다면 세상은 우리의 차지다!!,,bold_italic,,,,,,,
