page,bg,illustration,char,t_char_name,char_pos,char_ani,char_effect,r_scen,t_text,text_pos,text_type,auto_skip,effect_1,effect_2,effect_3,bgm,bgm_action,sound
1,,,,,,,,,,,,3,title;희미한 기억,skip_disable,,,,
2,챕터10,,,,,,,,,,,0.3,skip_disable,,,bgm_everyday,,
3,,,고니,,left,thought,,,이거 숫자가 장난이 아닌데? 온 세상 몬스터들이 다 몰려온 거 같아.,,,,,,,,,
4,,,케사스,,right,idle,,,"이게 다 멍청하고 부지런한, 검은 로브 녀석들 덕분이지.",,,,,,,,,
5,,,데데,,left,thought,,,이 싸움은 길어질수록 우리에게 불리해요.,,,,,,,,,
6,,,데데,,left,thought,,,"하루빨리 누리 님이 기억을 되찾고, 어둠의 수호자를 막아야 해요.",,,,,,,,,
7,,,고니,,right,happy,,,걱정하지마! 미래의 드래곤 테이머 마스터가 여기 있잖아!,,,,,,,,,
8,,,데데,,left,happy,,,"그래요. 역시, 믿음직스럽네요.",,,,,,,,,
9,,,고니,,right,happy,,,가서 좀 쉬어. 난 근처 정찰이나 한 번 더 돌고 갈게.,,,,,,,,,
10,,,고니,,right,happy,disappear_side,,,,,1,skip_disable,clear_text,,,,
11,,,,,,,,,,,,2,clear_all,black_in,skip_disable,,,
12,로비,,,,,,,,,,,0.5,skip_disable,,,,,
13,,,,,,,,,,,,1,fadeout,skip_disable,,off,,
14,,,누리,,right,thought,,,으윽...,,,,,,,,,
15,,,누리,,right,thought,,,,,,0.5,skip_disable,clear_text,flash,,,
16,,,,,,,,,,,,0.5,skip_disable,shaking,flash,,,
17,,,모코지,,left,fury,,,누리 님!,,,,,,,,,
18,,,두른,,left,fury,,,"진정해, 일단 침착하게 기다려.",,,,,,,,,
19,,,,,,,,,,,,2,clear_all,white_in,skip_disable,,,
20,회상,,,,,,,,,,,0.5,skip_disable,,,,,
21,,,,,,,,,,,,1,fadeout,skip_disable,,bgm_sorrow,,
22,,,아라한,???,right,,,,[나는 드래곤 테이머가 되기 위해 유타칸에 왔어],,italic,,,,,,,
23,,,,,,,,,,,,0.6,clear_all,white_in,skip_disable,,,
24,,,,,,,,,,,,1,fadeout,skip_disable,,,,
25,,,아라한,???,left,,,,[모두가 너를 지키기 위해 싸우고 있는 거야. 누리],,italic,,,,,,,
26,,,,,,,,,,,,0.6,clear_all,white_in,skip_disable,,,
27,,,,,,,,,,,,1,fadeout,skip_disable,,,,
28,,,아라한,???,right,,,,[의식의 날은 내일이야. 그때까지 곁에 있어 줄게],,italic,,,,,,,
29,,,,,,,,,,,,0.6,clear_all,white_in,skip_disable,,,
30,,,,,,,,,,,,1,fadeout,skip_disable,,,,
31,,,아라한,???,left,,,,[누리! 넌 할 수 있어!!],,italic,,,,,,,
32,,,,,,,,,,,,2,clear_all,white_in,skip_disable,,,
33,로비,,,,,,,,,,,0.5,skip_disable,,,,,
34,,,,,,,,,,,,1,fadeout,skip_disable,,,,
35,,,누리,,right,sorrow,,,허억..?,,,,,,,,,
36,,,모코지,,left,fury,,,"누리 님, 괜찮아요? 많이 아프신가요? 눈물을..",,,,,,,,,
37,,,누리,,right,sorrow,,,흑흑.. 모르겠어요. 왜 제가 울고 있는지..,,,,,,,,,
38,,,누리,,right,sorrow,,,대체 무엇을 그리워하는지..,,,,,,,,,
39,,,,,,,,,,,,1,black_in,skip_disable,,,,
