page,bg,illustration,char,t_char_name,char_pos,char_ani,char_effect,r_scen,t_text,text_pos,text_type,auto_skip,effect_1,effect_2,effect_3,bgm,bgm_action,sound
1,,,,,,,,,,,,3,title;타락의 속삭임,skip_disable,,,,
2,,,,,,,,,,,,0.3,skip_disable,,,,,
3,다크닉스스토리3_1,,???,,left,idle,,,"아아, 조금만 더 빨리 왔다면 아오라님을 살릴 수 있었을 텐데...",,bold_italic,,,,,bgm_sorrow,,
4,,,???,,left,idle,,,창조신의 힘만 있었더라면...,,bold_italic,,,,,,,
5,,,???,,left,idle,,,마이아 아오라님을 둘러싼 몬스터 정도는 쉽게 처리할 수 있었겠죠.,,bold_italic,,,,,,,
6,,,,,,,,,교활한 속삭임은 다크닉스의 영혼에 울리기 시작했다.,,narrate,,,,,,,
7,,,???,,left,idle,,,가여운 아오라님... 그렇게 간절히 기도를 드렸건만 돌아오는 건 죽음뿐이라니...,,bold_italic,,,,,,,
8,다크닉스스토리3_2,,,,,,,,불명의 속삭임은 가슴을 찌르며 들어왔고 심장은 크게 요동쳤다.,,narrate,,,,,,,
9,,,???,,left,idle,,,"어둠의 드래곤이여, 당신만이 그녀를 구원할 수 있어요.",,bold_italic,,,,,,,
10,,,???,,left,idle,,,복수의 화신이 되어 모두를 몰살한다면...,,bold_italic,,,,,,,
11,,,???,,left,idle,,,그녀는 분명 유일한 빛으로 돌아올 거예요.,,bold_italic,,,,,,,
12,,,,,,,,,불명의 속삭임은 이내 사라졌으나,,narrate,,,,,,,
13,,,,,,,,,다크닉스의 심장에는 희망과 절망을 담은 비수가 꽂혔다.,,narrate,,,,,,,
14,,,,,,,,,비통에 빠진 다크닉스의 눈에는 드래곤이 드래곤으로 보여지지 않았다.,,narrate,,,,,,,
15,,,,,,,,,마이아 아오라를 죽음으로 이르게 한 절망의 존재들일 뿐이었다.,,narrate,,,,,,,
