page,bg,illustration,char,t_char_name,char_pos,char_ani,char_effect,r_scen,t_text,text_pos,text_type,auto_skip,effect_1,effect_2,effect_3,bgm,bgm_action,sound
1,,,,,,,,,,,,3,title;귀찮은 작업,skip_disable,,,,
2,챕터5,,,,,,,,,,,0.3,skip_disable,,,bgm_dungeon_special,,
3,,,고대 문자,,right,,,,동력.. 손실..,,,,,,,,,
4,,,고대 문자,,right,,disappear_down,,,,,1,skip_disable,,,,,
5,,,모코지,,left,fury,,,저기 보세요! 몬스터에 깃든 마력이! 검은 틈새로 빨려 들어가고 있어요!,,,,,,,,,
6,,,두른,,right,fury,,,틀림없어! 저 검은 틈새가 숨겨진 공간으로 가는 문이야!,,,,,,,,,
7,,,두른,,right,fury,,,자! 모두 저 검은 틈새로..,,,,,,,,,
8,,,질서유지장치,,right,,appear_side,,대상 발견. 대상 확인 중…,,,,,,,,,
9,,,고니,,left,fury,,,"뭐야, 저 괴상한 건?",,,,,,,,,
10,,,질서유지장치,,right,,,,"이름… 고니, 드래곤 테이머 준비생. 위협도 낮음.",,,,,,,,,
11,,,두른,,left,fury,,,"오호, 지성을 가진 마공학 기계장치라니! 이거 진짜 대단한 물건인데!",,,,,,,,,
12,,,질서유지장치,,right,,,,"이름… 두른, 최고의 마공학자. 괴짜 외톨이. 자기 자랑 심함. 친구 없음. 위협도 중간.",,,,,,,,,
13,,,두른,,left,fury,,,"뭣이? 친구가 없는 게 아니라, 안 만드는 거거든!",,,,,,,,,
14,,,모코지,,left,fury,,,"그거나, 저거나…",,,,,,,,,
15,,,질서유지장치,,right,,,,"이름… 모코지, 마공학자. 의미있는 기록 없음.",,,,,,,,,
16,,,질서유지장치,,right,,,,전체 50% 확인 완료. 추가 확인 중…,,,,,,,,,
17,,,케사스,,left,fury,,,"엄청 꺼림찍한 기계인데, 뭔가 설득력 있다…",,,,,,,,,
18,,,질서유지장치,,right,,,,"이름… 케사스, 엘피스의 최연소 드래곤 테이머. 위협도 높음.",,,,,,,,,
19,,,데데,,left,fury,,,"우리의 정보를 모두 파악하고 있다니, 몹시 불쾌한 기계군요.",,,,,,,,,
20,,,질서유지장치,,right,,,,이름… 데데. 바이델의 사제. 위험도 높음.,,,,,,,,,
21,,,질서유지장치,,right,,,,"대상 분석 완료. 이동통로 파괴 카운트다운 시작. 3초, 2초, 1초…",,,,,,,,,
22,,,누리,,left,fury,,,뭔가 위험해보이는데..? 다들 피하세요!,,,,,,,,,
23,,,누리,,left,fury,disappear_side,,,,,1,skip_disable,clear_text,,,,
24,,,,,,,,,,,,2,clear_all,black_in,skip_disable,,,
25,,,,,,,,,,,,1,fadeout,skip_disable,,bgm_everyday,,
26,,,고니,,left,fury,,,"켁켁, 아까 그 기계, 검은로브 놈들이 만든 거야?",,,,,,,,,
27,,,두른,,right,happy,,,"누군지는 모르겠지만, 마공학자로서 정말 멋진 경험을 했어!",,,,,,,,,
28,,,케사스,,left,fury,,,"실 없는 소리는 나중에 하고, 마공학자면 마공학자답게 어떻게 좀 해봐요!",,,,,,,,,
29,,,두른,,right,thought,,,그 성질머리하고는…,,,,,,,,,
30,,,두른,,right,thought,,,불행은 행운의 그림자이다.'라는 마공학의 금언도 모르나?,,,,,,,,,
31,,,케사스,,left,idle,,,모르는데요. 누가 한 말인데요?,,,,,,,,,
32,,,두른,,right,happy,,,"에헴, 바로 세계최고의  마공학자 두른 님의 말씀이지!",,,,,,,,,
33,,,케사스,,left,fury,,,하아… 그냥 말을 말아야지.,,,,,,,,,
34,,,데데,,left,idle,,,두른 님. 더는 지체할 수가 없으니 어서 방법을 알려주세요.,,,,,,,,,
35,,,두른,,right,thought,,,"아, 그러지. 모코지! 준비해 온 걸 보여드려라.",,,,,,,,,
36,,,모코지,,left,idle,,,"네, 스승님. 여기요.",,,,,,,,,
37,,,누리,,left,thought,,,이게 무슨 장치죠?,,,,,,,,,
38,,,두른,,right,idle,,,"이 물건으로 말하자면 무려 시공간을 왜곡시키는 두른 님의 걸작품, '두른의 차원렌즈'지.",,,,,,,,,
39,,,두른,,right,idle,,,물론 딱 하나 뿐인 시제품이라… 실패할 가능성이 약간 있는 게 흠이긴 하지만.,,,,,,,,,
40,,,케사스,,left,fury,,,하아… 실패할 가능성이 걸작품이라니…,,,,,,,,,
41,,,두른,,right,idle,,,모든 과학의 성과는 수많은 실패 위에 이루어진 거라는 걸 명심하라고.,,,,,,,,,
42,,,두른,,right,idle,,,"자, 그럼 이쯤하고 슬슬 시작해볼까? 시간이 좀 걸릴 거야.",,,,,,,,,
43,,,데데,,left,thought,,,그럼 저희는 근처 몬스터들을 정리하는 게 어떨까요?,,,,,,,,,
44,,,누리,,right,idle,,,"그래, 모두들 데데의 말대로 하자.",,,,,,,,,
45,,,,,,,,,,,,1,black_in,skip_disable,,,,
