page,bg,illustration,char,t_char_name,char_pos,char_ani,char_effect,r_scen,t_text,text_pos,text_type,auto_skip,effect_1,effect_2,effect_3,bgm,bgm_action,sound
1,,,,,,,,,,,,3,title;빛의 기록,skip_disable,,,,
2,챕터7,,,,,,,,,,,0.3,skip_disable,,,bgm_everyday,,
3,,,케사스,,right,idle,,,이 근방에 이런 지역이 있다는 정보는 들은 적이 없어.,,,,,,,,,
4,,,데데,,left,thought,,,케사스 님이 이상하다고 여기는 것이 당연해요.,,,,,,,,,
5,,,데데,,left,thought,,,이 지역은 어둠의 수호자의 힘으로 인해 변화된 지형이니까요.,,,,,,,,,
6,,,두른,,right,fury,,,혼자서 무슨 파괴신 놀이라도 한 건가? 드래곤이 강력하다고는 해도 이 정도일 줄이야…,,,,,,,,,
7,,,고니,,left,thought,,,아직 힘을 다 회복하지 못했는데도 이 정도라니..,,,,,,,,,
8,,,누리,,right,idle,,,그보다 데데. 모두에게 그걸 보여줘.,,,,,,,,,
9,,,모코지,,left,thought,,,그거라니요?,,,,,,,,,
10,,,,,,,,,,,,2,clear_all,black_in,skip_disable,,,
11,예지의석판,,,,,,,,,,,0.5,skip_disable,,,,,
12,,,,,,,,,,,,1,fadeout,skip_disable,,bgm_lobby,,
13,,,,,,,,,,,,2,skip_disable,,,,,
14,,,데데,,left,idle,,[컷씬]17,이건 제가 수뇌부에 받은 또 다른 선지자의 기록이에요.,,,,,,,,,
15,,,케사스,,right,fury,,,어째서 우리에게 미리 수뇌부는 이 기록을 보여주지 않은 거지?,,,,,,,,,
16,,,데데,,left,thought,,,판독에 시간도 있었고 수뇌부도 하나의 기록이 더 있다는 사실을 몰랐던 모양이에요.,,,,,,,,,
17,,,두른,,right,idle,,,그래서 그 검은 로브 녀석이 선지자를 거짓말쟁이로 생각한 거로군.,,,,,,,,,
18,,,데데,,left,thought,,,[길에 오른 순례자는 서로 다른 빛의 조각을 찾아 여행을 떠나리라.],,italic,,,,,,,
19,,,데데,,left,thought,,,"[그 조각은 어둠의 수호자가 세상에 드리웠을 때, 가장 밝게 빛날 것이며.]",,italic,,,,,,,
20,,,데데,,left,thought,,,[가장 어두운 시기에 하나가 되어 위대한 존재의 손길 아래에 빛을 발할 것이다.],,italic,,,,,,,
21,,,,,,,,2초 대기,,,,2,clear_all,black_in,skip_disable,,,
22,챕터7,,,,,,,,,,,0.5,skip_disable,,,,,
23,,,,,,,,,,,,1,fadeout,skip_disable,,,,
24,,,데데,,left,idle,,,"저희의 임무는 비밀리에 이 석판에 적힌 지도에 따라, 빛의 조각을 찾는 것입니다.",,,,,,,,,
25,,,데데,,left,idle,,,빛으로 이루어진 네 개의 조각이 하나가 될 때. 이 세상은 구원받을 수 있어요.,,,,,,,,,
26,,,두른,,right,thought,,,요약하면... 앞으로도 귀찮은 일이 넘치다 못해 흐른단 소리군..,,,,,,,,,
27,,,,,,,,,,,,1,black_in,skip_disable,,,,
