page,bg,illustration,char,t_char_name,char_pos,char_ani,char_effect,r_scen,t_text,text_pos,text_type,auto_skip,effect_1,effect_2,effect_3,bgm,bgm_action,sound
1,,,,,,,,,,,,3,title;귀찮은 작업,skip_disable,,,,
2,챕터5,,,,,,,,,,,0.3,skip_disable,,,bgm_everyday,,
3,,,고니,,left,thought,,,우선 몬스터에 따라 마력을 지닌 양이 다르다면..,,,,,,,,,
4,,,고니,,left,thought,,,강하고 큰 몬스터를 물리치는 것이 더 도움이 되겠지?,,,,,,,,,
5,,,데데,,right,idle,,,그렇겠죠? 일단은 그런 몬스터를 찾는 게 첫 번째 목표겠군요.,,,,,,,,,
6,,,두른,,left,idle,appear_side,,어이! 몬스터를 찾는 걱정은 안 해도 될 것 같은데?,,,,,,,,,
7,,,케사스,,right,fury,,,두른 님. 대체 어딜 갔다 온..,,,,,,,,,
8,,,케사스,,right,fury,,,뭐.. 뭐야 저건..?,,,,shaking,,,,,
9,,,,,,,,,,,,2,clear_all,black_in,skip_disable,,,
10,,,,,,,,,,,,1,fadeout,skip_disable,,bgm_dungeon_special,,
11,,,고대 문자,,right,,,,인간. 침입자. 제거한다.,,,,,,,,,
12,,,고대 문자,,right,,,,제거한다. 배제한다. 말살한다.,,,,,,,,,
13,,,두른,,left,happy,,,고마워하라고. 너희들을 위해 내가 친히 몬스터들을 모셔왔지.,,,,,,,,,
14,,,누리,,left,fury,appear_side,,모두들 전투를 준비해!,,,,,,,,,
15,,,누리,,left,fury,,,녀석들을 퇴치하고 마력이 흘러가는 공간의 문을 찾아보자!,,,,,,,,,
16,,,,,,,,,,,,1,black_in,skip_disable,,,,
