page,bg,illustration,char,t_char_name,char_pos,char_ani,char_effect,r_scen,t_text,text_pos,text_type,auto_skip,effect_1,effect_2,effect_3,bgm,bgm_action,sound
1,,,,,,,,,,,,3,title;속박 속에서도 굽히지 않은 신의,skip_disable,,,,
2,,,,,,,,,,,,0.3,skip_disable,,,bgm_sorrow,,
3,챕터6,,,,,,,,"그들이 그 다음으로 도착한 곳은, 어쩌면 펼쳐질 수도 있는 미래였다.",,,,,,,,,
4,,,거대한 빛,,right,idle,,,[이곳의 인류와 드래곤들은 이미 악의 마법사들에 의해 지배받고 있구나],,bold_italic,,,,,,,
5,,,,,,,,,두번째 세계는 사악한 마법사들이 세계를 통치하는 세계,,,,,,,,,
6,,,,,,,,,그들이 세워놓은 잔혹한 법과 규칙 아래서는 그 어떤 자유도 용납되지 않는다.,,,,,,,,,
7,,,,,,,,,어두운 계략 안에서 인류와 드래곤은 서로를 의심하고 배신하고 질시하며 서서히 무너져간다.,,,,,,,,,
8,,,데데,,left,fury,,,“아뇨! 저희는 아직 지지 않았어요! 아무리 작은 빛이라도 빛은 절대 어둠에 지지 않아요! ”,,,,,,,,,
9,,,,,,,,,"하지만 그곳에서, 어떤 소녀는 신의를 잃지 않는다.",,,,,,,,,
10,,,,,,,,,,,,1,black_in,skip_disable,,,,
