page,effect_1,effect_2,effect_3,auto_skip,bg,bgm,bgm_action,sound,char,t_char_name,char_pos,char_effect,char_face,t_text,t_text_mono
1,title;3.원정대 A,skip_disable,,3,로비,,,,,,,,,,
2,,,,,,,,,고니,고니,left,,,…어! 당신은 분명히 그때?,
3,,,,,,,,,누리,누리,right,,,"다행이야. 그 모습을 보니, 건강에는 이상이 없군!",
4,,,,,,,,,누리,누리,right,,,아… 미안. 내 소개가 늦었지? 내 이름은 누리.,
5,,,,,,,,,누리,누리,right,,,자세히 기억은 나지 않지만… 누군가의 도움으로 이곳에 도착한 것 같아.,
6,,,,,,,,,고니,고니,left,,,...기억이 나지 않는다고요? 말도 안되요,
7,skip_disable,,,1,,,,,,,,,,,
8,,,,,,,,,데데,데데,left,,,"이제 정신을 차린 모양이네요. 제 이름은 데데, 신성 왕국 바이델의 사제입니다.",
9,,,,,,,,,고니,고니,left,,,신성 왕국 바이델? 빛의 사제가 왜 유타칸에…?,
10,,,,,,,,,누리,누리,right,,,어색한 일은 아니잖아? 신성 왕국 바이델은 이데알레 대륙의 중심지니까.,
11,,,,,,,,,고니,고니,left,,,…그게 무슨 소리죠? 신성 왕국 바이델이 중심지? 이데알레 대륙?,
12,,,,,,,,,데데,데데,left,,,누리 씨가 바이델을 높게 평가해주시는 점은 감사하지만… 그렇게까지는.,
13,,,,,,,,,누리,누리,right,,,아… 맞다! 이곳은 알리티아가 아니지. 미안 착각했어.,
14,,,,,,,,,고니,고니,left,,,"아, 아니! 누가 설명 좀 해봐요. 아까부터 대체 무슨 소리를 하는 거야?",
15,,,,,,,,,고니,고니,left,,,"...무엇보다, 전 테이머로 승급할 마지막 임무를 수행 중이었다고요.",
16,,,,,,,,,고니,고니,left,,,"그 임무만 무사히 마치면, 정식으로 드래곤 테이머에 등단…!",
17,,,,,,,,,누리,누리,right,,,"아! 그거라면, 아까 수뇌부에서 임무 실패로 자격을 박탈했다고 말했어.",
18,,,,,,,,,고니,고니,left,shaking,,..네?,
19,,,,,,,,,고니,고니,left,shaking,,…….,
20,,,,,,,,,데데,데데,left,,,"안타깝지만, 과정이 어찌 되었든… 임무는 실패한 거니까요.",
21,,,,,,,,,고니,고니,left,shaking,,…….,
22,,,,,,,,,데데,데데,left,,,"다만 저희가 하는 일을 조금 도와주신다면, 수뇌부의 결정을 되돌릴 수도 있어요.",
23,,,,,,,,,고니,고니,left,,,"다, 다시 테이머가 될 수 있다고?!",
24,,,,,,,,,누리,누리,right,,,"일단, 넌 정식으로 드래곤 테이머가 되고 싶은 거지?",
25,,,,,,,,,고니,고니,left,,,네! 당연하죠!!,
26,,,,,,,,,누리,누리,right,,,좋아. 그럼 데데와 이 누님을 믿고 따라오라고. 해결책을 제시해줄게!,
27,black;0.5,skip_disable,,1,,,,,,,,,,,
