page,effect_1,effect_2,effect_3,auto_skip,bg,bgm,bgm_action,sound,char,t_char_name,char_pos,char_effect,char_ani,t_text,t_text_mono
1,title;3.원정대 B,skip_disable,,3,스테이지1,,,,,,,,,,
2,,,,,,,,,고니,고니,left,,,"잠, 잠깐만요!\\n왜 이 녀석이 이곳에\\n있는 거죠?!",
3,,,,,,,,,누리,누리,right,,,오! 서로 아는\\n사이였어?,
4,,,,,,,,,케사스,케사스,right,,,네.,
5,skip_disable,,,1,,,,,누리,누리,right,,,,…응? 어째 반응이?!
6,,,,,,,,,고니,고니,left,,,제가 사실 이 녀석과\\n워낙 악연이 많은지라….,
7,,,,,,,,,고니,고니,left,,,그나저나 아까 분명히… 테이머 자격에 대한 해결책이 있다고 말씀하셨죠?,
8,,,,,,,,,고니,고니,left,,,"아, 아니… 그전에 일단 이런 일이 일어난 자세한 이유를 설명을 부탁드립니다.",
9,,,,,,,,,케사스,케사스,right,,,"하긴, 생각도 재능도 없는 네 녀석은 수뇌부가 골머리를 앓는 동안 기절해있었지.",
10,skip_disable,,,1,,,,,고니,고니,left,,,…….,
11,,,,,,,,,데데,데데,left,,,"우선… 이곳에 여러분을 모은 건 ""빛의 순례길""의 예지를 이행하기 위해서입니다.",
12,,,,,,,,,고니,고니,left,,,빛의 순례길…그게 뭐야?!,
13,,,,,,,,,데데,데데,left,,,과거 위대한 선지자가 신성 왕국 바이델에 기록한 예언 입니다.,
14,,,,,,,,,데데,데데,left,,,"빛과 어둠이 창공을 물들일 때, 위대한 존재가 세상에 나타날 것이다",
15,,,,,,,,,데데,데데,left,,,"구원을 바라는 생명이여, 빛의 수호자를 찾아 그 길을 순례하라",
16,,,,,,,,,데데,데데,left,,,"그 길의 끝에, 끝없는 어둠을 물리칠 빛을 맞이하라",
17,,,,,,,,,케사스,케사스,right,,,"드래곤 테이머를 꿈꾸는 훈련생이라면, 누구나 알고 있는 유명한 전설이지.",
18,,,,,,,,,케사스,케사스,right,,,"...물론, 항상 어딘가 항상 모자란 녀석은 모를 수 있는 이야기지만.",
19,skip_disable,,,1,,,,,고니,고니,left,,,아하! 그럼 난 그 빛의 순례길을 수행하기 위해 뽑힌 우수한 드래곤 테이머군!,
20,shaking,,,,,,,,케사스,케사스,right,,,"아니, 정식으로 수뇌부에 뽑힌 건 나고. 넌 누리 님의 부탁으로 뽑힌 것뿐이야!",
21,,,,,,,,,고니,고니,left,,,케사스. 넌 ~ 항상 말을 해도 꼭 정나미가 떨어지게 말한단 말이야.,
22,,,,,,,,,케사스,케사스,right,,,친절한 것 아닐까? 모자란 녀석에게 진실을 이야기해주는 사람은 몇 없으니까.,
23,skip_disable,,,1,,,,,고니,고니,left,,,…….,
24,,,,,,,,,누리,누리,right,,,"자~ 친구끼리 다투는 건 이제 그만하고. 목적을 이야기했으니, 내 소개 시간이야!",
25,,,,,,,,,누리,누리,right,,,"내 이름은 누리. 너희 세상 이노와 다른 공간인, 알리티아의 행성 출신이야.",
26,,,,,,,,,누리,누리,right,,,기억이 정확하진 않지만…. 내가 이곳에 온 것은 분명히 이유가 있다고 생각해.,
27,,,,,,,,,누리,누리,right,,,"사실 이곳에 온 이후로 그 이유가 뭔지 생각하면, 머리가 지끈거리거든.",
28,,,,,,,,,케사스,케사스,right,,,차원 이동 마법에 의한 부작용일지도 모르죠. 오히려 무사한 게 신기할 정도니….,
29,,,,,,,,,케사스,케사스,right,,,"무엇보다, 누리 님처럼 실력자가 원정대에 동행해주신다니, 큰 영광으로 생각합니다.",
30,,,,,,,,,고니,고니,left,,,저도요! 일단은 저를 뽑아주신 분들을 위해! 최선을 다하겠습니다!,
31,,,,,,,,,데데,데데,left,,,자! 그럼 어서 출발하죠. 우선은 퀸즈 스네이크가 지키는 숲을 지나야만 해요.,
32,black;0.5,skip_disable,,0.5,,,,,,,,,,,
