qid,type,t_desc,start_date,end_date,key,clear_value,r_reward_1,r_grade,r_val_1,r_reward_2,r_val_2,reward,product_content,mail_content,pass_exp,clan_exp,r_title,title,default,score
30001,daily,일일 퀘스트 {1}개 클리어하기,2019-01-12 00:00:00,2019-08-15 00:00:00,dq_clear,10,다이아,,300,자수정,100,"700001;300,700007;100",,,,100,,,,5
30002,daily,모험 {1}회 플레이,2019-01-12 00:00:00,2019-08-15 00:00:00,ply_adv,10,다이아,,30,날개,50,"700001;30,700101;50",,,,100,,,,1
30003,daily,탐험 {1}회 완료하기,2019-01-12 00:00:00,2019-08-15 00:00:00,ply_epl,1,다이아,,30,골드,7000,"700001;30,700002;7000",,,,100,,,,1
30004,daily,진화재료던전 {1}회 플레이,2019-01-12 00:00:00,2019-08-15 00:00:00,ply_ev,1,다이아,,30,골드,7000,"700001;30,700002;7000",,,,100,,,,1
30005,daily,고대의 탑 또는 시험의 탑 {1}회 플레이,2019-01-12 00:00:00,2019-08-15 00:00:00,ply_tower_ext,1,다이아,,30,골드,7000,"700001;30,700002;7000",,,,100,,,,1
30006,daily,거목던전 {1}회 플레이,2019-01-12 00:00:00,2019-08-15 00:00:00,ply_tree,1,다이아,,30,골드,7000,"700001;30,700002;7000",,,,100,,,,1
30007,daily,"악몽, 고대 유적, 룬 수호자 던전 중 {1}회 플레이",2019-01-12 00:00:00,2019-08-15 00:00:00,ply_nm_ruin_grd,1,다이아,,30,골드,7000,"700001;30,700002;7000",,,,100,,,,1
30008,daily,콜로세움 {1}회 플레이,2019-01-12 00:00:00,2019-08-15 00:00:00,ply_clsm,5,다이아,,30,골드,7000,"700001;30,700002;7000",,,,100,,,,1
30009,daily,인연던전 {1}회 플레이,2019-01-12 00:00:00,2019-08-15 00:00:00,ply_rel,1,다이아,,30,골드,7000,"700001;30,700002;7000",,,,100,,,,1
30010,daily,드래곤 레벨업 {1}회 진행,2019-01-12 00:00:00,2019-08-15 00:00:00,d_use_mtrl,1,다이아,,30,골드,5000,"700001;30,700002;5000",,,,100,,,,1
30011,daily,열매 {1}회 주기,2019-01-12 00:00:00,2019-08-15 00:00:00,feed,3,다이아,,30,골드,2500,"700001;30,700002;2500",,,,100,,,,1
30012,daily,드래곤 알 {1}회 부화하기,2019-01-12 00:00:00,2019-08-15 00:00:00,egg,1,다이아,,30,골드,2500,"700001;30,700002;2500",,,,100,,,,1
30013,daily,드래곤 {1}회 소환,2019-01-12 00:00:00,2019-08-15 00:00:00,smn,1,다이아,,30,자수정,100,"700001;30,700007;100",,,,100,,,,1
30014,daily,드래곤 우정 소환 {1}회,2019-01-12 00:00:00,2019-08-15 00:00:00,smn_fp,1,다이아,,30,우정의 징표,50,"700001;30,700003;50",,,,100,,,,1
30015,daily,룬 {1}회 강화하기,2019-01-12 00:00:00,2019-08-15 00:00:00,r_enc,3,다이아,,30,골드,5000,"700001;30,700002;5000",,,,100,,,,1
30016,daily,{1}명의 친구에게 우정의 징표 보내기,2019-01-12 00:00:00,2019-08-15 00:00:00,send_fp,5,다이아,,30,우정의 징표,30,"700001;30,700003;30",,,,100,,,,1
30017,daily,클랜던전 {1}회 플레이,2019-01-12 00:00:00,2019-08-15 00:00:00,ply_cldg,2,클랜코인,,1,골드,7000,"700011;1,700002;7000",,,,100,,,,1
30018,daily,황금 던전 {1}회 플레이,2019-01-12 00:00:00,2019-08-15 00:00:00,ply_gold,2,골드,,10000,,,700002;10000,,,,100,,,,1
30101,daily,일일 퀘스트 {1}개 클리어하기,2019-08-15 00:00:00,2030-08-13 21:00:00,dq_clear,10,다이아,,300,자수정,100,"700001;300,700007;100","700001;300,700007;100",,500,200,,,,5
30102,daily,모험 {1}회 플레이,2019-08-15 00:00:00,2030-08-13 21:00:00,ply_adv,10,다이아,,30,날개,50,"700001;30,700101;50","700001;30,700101;50",,100,100,,,,1
30103,daily,탐험 {1}회 완료하기,2019-08-15 00:00:00,2030-08-13 21:00:00,ply_epl,1,다이아,,30,골드,30000,"700001;30,700002;30000","700001;30,700002;30000",,100,100,,,,1
30104,daily,진화재료던전 {1}회 플레이,2019-08-15 00:00:00,2030-08-13 21:00:00,ply_ev,1,다이아,,30,골드,30000,"700001;30,700002;30000","700001;30,700002;30000",,100,100,,,,1
30105,daily,고대의 탑 또는 시험의 탑 {1}회 플레이,2019-08-15 00:00:00,2030-08-13 21:00:00,ply_tower_ext,1,다이아,,30,골드,40000,"700001;30,700002;40000","700001;30,700002;40000",,100,100,,,,1
30106,daily,거목던전 {1}회 플레이,2019-08-15 00:00:00,2030-08-13 21:00:00,ply_tree,1,다이아,,30,골드,30000,"700001;30,700002;30000","700001;30,700002;30000",,100,100,,,,1
30107,daily,"악몽, 고대 유적, 룬 수호자 던전 중 {1}회 플레이",2019-08-15 00:00:00,2030-08-13 21:00:00,ply_nm_ruin_grd,1,다이아,,30,골드,40000,"700001;30,700002;40000","700001;30,700002;40000",,100,100,,,,1
30108,daily,콜로세움 {1}회 플레이,2019-08-15 00:00:00,2030-08-13 21:00:00,ply_clsm,5,다이아,,30,골드,30000,"700001;30,700002;30000","700001;30,700002;30000",,100,100,,,,1
30109,daily,인연던전 {1}회 플레이,2019-08-15 00:00:00,2030-08-13 21:00:00,ply_rel,1,다이아,,30,골드,30000,"700001;30,700002;30000","700001;30,700002;30000",,100,100,,,,1
30110,daily,드래곤 레벨업 {1}회 진행,2019-08-15 00:00:00,2030-08-13 21:00:00,d_use_mtrl,1,다이아,,30,골드,30000,"700001;30,700002;30000","700001;30,700002;30000",,100,100,,,,1
30111,daily,열매 {1}회 주기,2019-08-15 00:00:00,2030-08-13 21:00:00,feed,3,다이아,,30,골드,30000,"700001;30,700002;30000","700001;30,700002;30000",,100,100,,,,1
30112,daily,드래곤 알 {1}회 부화하기,2019-08-15 00:00:00,2030-08-13 21:00:00,egg,1,다이아,,30,골드,30000,"700001;30,700002;30000","700001;30,700002;30000",,100,100,,,,1
30113,daily,드래곤 {1}회 소환,2019-08-15 00:00:00,2030-08-13 21:00:00,smn,1,다이아,,30,자수정,100,"700001;30,700007;100","700001;30,700007;100",,100,100,,,,1
30114,daily,드래곤 우정 소환 {1}회,2019-08-15 00:00:00,2030-08-13 21:00:00,smn_fp,1,다이아,,30,우정의 징표,50,"700001;30,700003;50","700001;30,700003;50",,100,100,,,,1
30115,daily,룬 {1}회 강화하기,2019-08-15 00:00:00,2030-08-13 21:00:00,r_enc,3,다이아,,30,골드,30000,"700001;30,700002;30000","700001;30,700002;30000",,100,100,,,,1
30116,daily,{1}명의 친구에게 우정의 징표 보내기,2019-08-15 00:00:00,2030-08-13 21:00:00,send_fp,5,다이아,,30,우정의 징표,30,"700001;30,700003;30","700001;30,700003;30",,100,100,,,,1
30117,daily,클랜던전 {1}회 플레이,2019-08-15 00:00:00,2030-08-13 21:00:00,ply_cldg,2,클랜코인,,1,골드,30000,"700011;1,700002;30000","700011;1,700002;30000",,100,100,,,,1
30118,daily,레이드 {1}회 플레이,2023-03-01 00:00:00,2030-08-13 21:00:01,raid_play,1,클랜코인,,2,골드,30000,"700011;2,700002;30000","700011;2,700002;30000",,100,100,,,,1
30119,daily,로비 룰렛 광고 {1}회 시청,2023-03-01 00:00:00,2030-08-13 21:00:01,adv_lobby,1,다이아,,30,골드,30000,"700001;30,700002;30000","700001;30,700002;30000",,100,100,,,,1
20101,special,6성 60레벨 드래곤 {1}마리 획득,,,d_lvmax_sq,1,★6 룬 뽑기권 x2,,,,,704026;2,,704026;2,,,,,1,100
20102,special,6성 60레벨 드래곤 {1}마리 획득,,,d_lvmax_sq,3,★6 룬 뽑기권 x4,,,,,704026;4,,704026;4,,,,,,200
20103,special,6성 60레벨 드래곤 {1}마리 획득,,,d_lvmax_sq,6,★6 룬 뽑기권 x6,,,,,704026;6,,704026;6,,,,,,300
20104,special,6성 60레벨 드래곤 {1}마리 획득,,,d_lvmax_sq,10,★6 룬 뽑기권 x8,,,,,704026;8,,704026;8,,,,,,400
20105,special,6성 60레벨 드래곤 {1}마리 획득,,,d_lvmax_sq,15,★6 룬 뽑기권 x10,,,,,704026;10,,704026;10,,,,,,500
20106,special,6성 60레벨 드래곤 {1}마리 획득,,,d_lvmax_sq,20,★6 룬 뽑기권 x15,,,,,704026;15,,704026;15,,,,,,600
