rune_lv,req_exp_grade1,req_exp_grade2,req_exp_grade3,req_exp_grade4,req_exp_grade5
1,500,600,720,864,1037
2,1000,1200,1440,1728,2074
3,1500,1800,2160,2592,3110
4,2500,3000,3600,4320,5184
5,3500,4200,5040,6048,7258
6,4500,5400,6480,7776,9331
7,6000,7200,8640,10368,12442
8,7500,9000,10800,12960,15552
9,9000,10800,12960,15552,18662
10,11000,13200,15840,19008,22810
11,13000,15600,18720,22464,26957
12,15000,18000,21600,25920,31104
13,17500,21000,25200,30240,36288
14,20000,24000,28800,34560,41472
15,x,x,x,x,x
