rid,t_name,slot,grade,set_color,mopt_num,sopt_num,rarity_coef,exp,req_gold,price
711101,벨라리아,bellaria,1,green,,,,,,
711102,벨라리아,bellaria,1,red,,,,,,
711103,벨라리아,bellaria,1,blue,,,,,,
711104,벨라리아,bellaria,1,yellow,,,,,,
711105,벨라리아,bellaria,1,purple,,,,,,
711106,벨라리아,bellaria,1,orange,,,,,,
711201,벨라리아,bellaria,2,green,,,,,,
711202,벨라리아,bellaria,2,red,,,,,,
711203,벨라리아,bellaria,2,blue,,,,,,
711204,벨라리아,bellaria,2,yellow,,,,,,
711205,벨라리아,bellaria,2,purple,,,,,,
711206,벨라리아,bellaria,2,orange,,,,,,
711301,벨라리아,bellaria,3,green,,,,,,
711302,벨라리아,bellaria,3,red,,,,,,
711303,벨라리아,bellaria,3,blue,,,,,,
711304,벨라리아,bellaria,3,yellow,,,,,,
711305,벨라리아,bellaria,3,purple,,,,,,
711306,벨라리아,bellaria,3,orange,,,,,,
711401,벨라리아,bellaria,4,green,,,,,,
711402,벨라리아,bellaria,4,red,,,,,,
711403,벨라리아,bellaria,4,blue,,,,,,
711404,벨라리아,bellaria,4,yellow,,,,,,
711405,벨라리아,bellaria,4,purple,,,,,,
711406,벨라리아,bellaria,4,orange,,,,,,
711501,벨라리아,bellaria,5,green,,,,,,
711502,벨라리아,bellaria,5,red,,,,,,
711503,벨라리아,bellaria,5,blue,,,,,,
711504,벨라리아,bellaria,5,yellow,,,,,,
711505,벨라리아,bellaria,5,purple,,,,,,
711506,벨라리아,bellaria,5,orange,,,,,,
712101,투타멘,tutamen,1,green,,,,,,
712102,투타멘,tutamen,1,red,,,,,,
712103,투타멘,tutamen,1,blue,,,,,,
712104,투타멘,tutamen,1,yellow,,,,,,
712105,투타멘,tutamen,1,purple,,,,,,
712106,투타멘,tutamen,1,orange,,,,,,
712201,투타멘,tutamen,2,green,,,,,,
712202,투타멘,tutamen,2,red,,,,,,
712203,투타멘,tutamen,2,blue,,,,,,
712204,투타멘,tutamen,2,yellow,,,,,,
712205,투타멘,tutamen,2,purple,,,,,,
712206,투타멘,tutamen,2,orange,,,,,,
712301,투타멘,tutamen,3,green,,,,,,
712302,투타멘,tutamen,3,red,,,,,,
712303,투타멘,tutamen,3,blue,,,,,,
712304,투타멘,tutamen,3,yellow,,,,,,
712305,투타멘,tutamen,3,purple,,,,,,
712306,투타멘,tutamen,3,orange,,,,,,
712401,투타멘,tutamen,4,green,,,,,,
712402,투타멘,tutamen,4,red,,,,,,
712403,투타멘,tutamen,4,blue,,,,,,
712404,투타멘,tutamen,4,yellow,,,,,,
712405,투타멘,tutamen,4,purple,,,,,,
712406,투타멘,tutamen,4,orange,,,,,,
712501,투타멘,tutamen,5,green,,,,,,
712502,투타멘,tutamen,5,red,,,,,,
712503,투타멘,tutamen,5,blue,,,,,,
712504,투타멘,tutamen,5,yellow,,,,,,
712505,투타멘,tutamen,5,purple,,,,,,
712506,투타멘,tutamen,5,orange,,,,,,
713101,키멜리움,cimelium,1,green,,,,,,
713102,키멜리움,cimelium,1,red,,,,,,
713103,키멜리움,cimelium,1,blue,,,,,,
713104,키멜리움,cimelium,1,yellow,,,,,,
713105,키멜리움,cimelium,1,purple,,,,,,
713106,키멜리움,cimelium,1,orange,,,,,,
713201,키멜리움,cimelium,2,green,,,,,,
713202,키멜리움,cimelium,2,red,,,,,,
713203,키멜리움,cimelium,2,blue,,,,,,
713204,키멜리움,cimelium,2,yellow,,,,,,
713205,키멜리움,cimelium,2,purple,,,,,,
713206,키멜리움,cimelium,2,orange,,,,,,
713301,키멜리움,cimelium,3,green,,,,,,
713302,키멜리움,cimelium,3,red,,,,,,
713303,키멜리움,cimelium,3,blue,,,,,,
713304,키멜리움,cimelium,3,yellow,,,,,,
713305,키멜리움,cimelium,3,purple,,,,,,
713306,키멜리움,cimelium,3,orange,,,,,,
713401,키멜리움,cimelium,4,green,,,,,,
713402,키멜리움,cimelium,4,red,,,,,,
713403,키멜리움,cimelium,4,blue,,,,,,
713404,키멜리움,cimelium,4,yellow,,,,,,
713405,키멜리움,cimelium,4,purple,,,,,,
713406,키멜리움,cimelium,4,orange,,,,,,
713501,키멜리움,cimelium,5,green,,,,,,
713502,키멜리움,cimelium,5,red,,,,,,
713503,키멜리움,cimelium,5,blue,,,,,,
713504,키멜리움,cimelium,5,yellow,,,,,,
713505,키멜리움,cimelium,5,purple,,,,,,
713506,키멜리움,cimelium,5,orange,,,,,,
