title_id,t_name
10001,초보탈출
10002,익숙한
10003,숙련된
10004,모험가
10005,테이머
10006,동료가 필요한
10007,삼총사
10008,다다익선
10009,영입왕
10010,너 내 동료가 돼라
10011,훈련중인
10012,스킬 숙련가
10013,스킬 전문가
10014,스킬 마스터
10015,정령의 숲 구원자
10016,사파이어 해 구원자
10017,칼바람 협곡의 구원자
10018,화룡의 땅 구원자
10019,칠흑의 성 구원자
10020,맹독의 샘 구원자
10021,밤사냥꾼 둥지의 구원자
10022,심연의 바다 구원자
10023,바이델 외곽 숲의 구원자
10024,황혼의 신전 구원자
10025,검은 요새 구원자
10026,이노의 구원자
10027,구원자
10028,수색대
10029,도굴꾼
10030,도굴왕
10031,탐험가
10032,거대용 토벌가
10033,거대용 학살자
10034,정기를 빨아먹는
10035,보석을 좋아하는
10036,고대의
10037,탑
10038,탑을 오르는 자
10039,고대의 탑 정복자
10040,벌목꾼
10041,아낌없이 주는 나무
10042,꿈을 꾸는
10043,숙면 중인
10044,나이트메어
10045,악몽을 극복한 자
10046,싸펑피펑
10047,싸움꾼
10048,사람잡는
10049,글래디에이터
10050,전장의 학살자
10051,전장의 영웅
10052,전장의 전설
10053,범접할 수 없는
10054,심심한
10055,만남을 원하는
10056,소울 메이트
10057,눈을 부릅뜬
10058,시력이 좋은
10059,이글아이
10060,성장하는
10061,꾸준한
10062,멈추지 않는
10063,최종병기
10064,견습용병
10065,용병
10066,용병단장
10067,용병왕
10068,견습기사
10069,기사
10070,기사단장
10071,총사령관
10072,꼬맹이
10073,땅꼬마
10074,키가 작은
10075,꼬꼬마
10076,성숙한
10077,키가 큰
10078,정변의 아이콘
10079,폭풍성장
10080,희귀한
10081,영웅
10082,전설의
10083,꿀꿀
10084,배고픈
10085,돼지
10086,돼지보스
10087,미식가
10088,무관심한
10089,존재감 없는
10090,관심가는
10091,소통의 아이콘
10092,호감가는
10093,친구
10094,다정한
10095,단짝 친구
10096,행복한
10097,일심동체
10098,눈물 흘리는
10099,알을 품는
10100,따뜻한 마음
10101,드래곤 브리더
10102,초보 소환사
10103,전문 소환사
10104,전설의 소환사
10105,마스터 소환사
10106,마음을 연
10107,돈독한
10108,우정의 동반자
10109,플래그 왕
10110,백의 인연
10111,연구원
10112,창조자
10113,차가운
10114,다크
10115,눈부신
10116,럭키가이
10117,럭키 걸
10118,행운의
10119,강화 전문가
10120,마이더스의 손
10121,어이쿠
10122,손이 미끄러운
10123,칠전팔기
10124,불운의
10125,탕진요정
10126,관심이 필요한
10127,애정이 넘치는
10128,사랑꾼
10129,우정의 상징
10130,평범한
10131,인기인
10132,연예인
10133,우주 대스타
10134,초보 테이머
10135,전문 테이머
10136,전설의 테이머
10137,마스터 테이머
10138,그린
10139,단단한
10140,땅의 주인
10141,블루
10142,깨끗한
10143,물의 주인
10144,레드
10145,화끈한
10146,불의 주인
10147,옐로우
10148,빛나는
10149,빛의 주인
10150,블랙
10151,어두운
10152,어둠의 주인
10153,악몽을 정복한 자
10154,앙그라 차원의 탐색자
10155,앙그라의 인정을 받은
10156,앙그라 차원의 구원자
10157,부서진 세상의 왕
10158,수호자
10159,전설이 되려는 자
10160,신화가 되려는 자
10161,신
10162,태초의 빛
