wid,word,strict_word
1,motherfuckermuffdiverniggerpisspissedpissedoffpissflapspoint,1
2,ply太子党国家领导人子女猛贱柱温宝宝孟见柱,1
3,赖昌星姓李的叫克强戴梦得珠宝老板宰相女婿,1
4,上演郭嘉主人曹廷传高干子弟新四人帮切尼,1
5,历史的大爆炸——“六四”事件全景实录,1
6,团派胡幺绑北戴河股东会大连市委书记,1
7,邓小平、胡耀邦、赵紫阳三头马车时代,1
8,共用的墓碑——一个中国人的家庭纪事,1
9,江青和她的大丈夫们——沙叶新禁品选,1
10,上千亿末世拍案惊奇强强上台习倒霉,1
11,从延安一路走来的反思——何方自述,1
12,在如来佛掌中——张苏荪和他的时代,1
13,转型中国与紫阳——赵紫阳研究文集,1
14,魔鬼孟JZ温公阁下大鉴新四人帮切尼,1
15,同土延寿李KQ康师傅北戴河会议德江,1
16,ＰＲＯＦＩＬＥ．ＨＡＮＧＡＭＥ,1
17,解构与建设：中国民主转型纵横谈,1
18,墓碑——中国六十年代大饥荒纪实,1
19,阴谋与虔诚：西藏骚乱的来龙去脉,1
20,增设司法院和军事院泽米东-太祖,1
21,电信女婿恒大投行习近平传家宏,1
22,大国沉沦——写给中国的备忘录,1
23,往事微痕——五七之声诗词专集,1
24,“6.41989——震惊世界的七周”,1
25,出售假币货到付款或当面交易,1
26,六四日记——广场上的共和国,1
27,ﾏｼﾞｯｸﾏｯｼｭﾙｰﾑ,1
28,唐僧和粉尘女子的性爱生活,1
29,古月北戴河股东大会十八大,1
30,胡锦涛对儿子胡海峰的告诫,1
31,习黄袍加身习效仿太祖起事,1
32,往事微痕“五七二代特刊”,1
33,温第6带接班人温宝宝老赖,1
34,久久宝贝-清纯美女图片站,1
35,ぜんりつせんまっさーじ,1
36,まじっくまっしゅるｰむ,1
37,出售高仿人民币假人民币,1
38,国家社会主义中国工人党,1
39,假钞人民币假人民币出售,1
40,现代广州白领的淫荡生活,1
41,一个风韵女人的性爱历程,1
42,中共中央中华人民共和国,1
43,论朝政权臣谋上位虎劲套,1
44,亚洲第一天团平近习江一,1
45,资产700亿高干子弟温家宏,1
46,“六四”事件民间白皮书,1
47,ﾃﾞｨｰﾌﾟｽﾛｰﾄ,1
48,はなびらだいかいてん,1
49,ﾏｽﾀｰﾍﾞｰｼｮﾝ,1
50,マスターﾍﾞｰｼｮﾝ,1
51,ますたーﾍﾞｰｼｮﾝ,1
52,出售假币联系方式电话,1
53,假币货到付款联系电话,1
54,性爱韦小寳之玩女大王,1
55,艳遇之古代太后一把抓,1
56,一夜情激情成人聊天室,1
57,左手上天堂右手下地狱,1
58,奥斯卡影帝终身成就奖,1
59,戴梦得珠宝集团老总温,1
60,江诗丹顿胡在军舰向胡,1
61,孟JZtuan派杀胡贼锦涛温,1
62,末代皇帝天子拿赖开刀,1
63,六四事件中的戒严部队,1
64,往事微痕——北大专辑,1
65,新五四：五一九文萃序,1
66,一个解放军的一九八九,1
67,江0泽0民胡在军舰影帝,1
68,しょくぶつにんげん,1
69,ばかでもちょんでも,1
70,バカでもチョンでも,1
71,マスターベーション,1
72,ますたーべーしょん,1
73,ますたーベーション,1
74,マスターべーしょん,1
75,ﾏｽﾀｰベーション,1
76,ﾏｽﾀｰべーしょん,1
77,南部の鮭の鼻まがり,1
78,馬鹿でもチョンでも,1
79,ＣＨＯＢＩＲＩＣＨ,1
80,ＩＮＦＯ－ＣＡＳＨ,1
81,ｲﾒｰｼﾞｸﾗﾌﾞ,1
82,ﾊﾌﾟﾆﾝｸﾞﾊﾞ,1
83,ﾌﾞﾃｨｯｸﾎﾃﾙ,1
84,ﾔﾝｸﾞｱｹﾞｲﾝ,1
85,北京代开增值税发票,1
86,出售火药动力钢珠枪,1
87,出售健卫小口径步枪,1
88,出售军用五连发手枪,1
89,出售指纹膜制作方法,1
90,打倒中华人民共和国,1
91,极品金发美女美穴图,1
92,江山如此多娇txt下载,1
93,金鳞岂是池中物全本,1
94,老公喜欢干我的屁眼,1
95,六合彩曾道人白小姐,1
96,美女面对面激情裸聊,1
