page,effect_1,effect_2,effect_3,auto_skip,bg,bgm,bgm_action,sound,char,t_char_name,char_pos,char_effect,char_ani,t_text,t_text_mono
1,title;4.불과 얼음 B,skip_disable,,3,스테이지1,,,,,,,,,,
2,,,,,,,,,퀸즈 스네이크,퀸즈 스네이크,right,,,호호호! 바이델의 사제가 이 정도 수준밖에 안 되다니!,
3,,,,,,,,,데데,데데,left,,,"뭐, 뭐라고?! 지금 당장 그 입을 다물게 해주겠어!",
4,,,,,,,,,누리,누리,left,,,"데데, 멈춰! 함정이야! 가서는 안 돼!",
5,,,,,,,,,퀸즈 스네이크,퀸즈 스네이크,right,,,멍청하긴! 죽어라! 어리석은 테이머!!,
6,,,,,,,,,데데,데데,left,,,!,
7,black;0,flash,skip_disable,0.3,,,,,퀸즈 스네이크,퀸즈 스네이크,right,shaking,,,
8,black;0,flash,skip_disable,0.3,,,,,퀸즈 스네이크,퀸즈 스네이크,right,shaking,,,
9,black;0,flash,skip_disable,1,,,,,퀸즈 스네이크,퀸즈 스네이크,right,shaking,,캬아아악!!,
10,,,,,,,,,고니,고니,left,,,조금 늦었지! 다친 곳은 없어?!,
11,,,,,,,,,데데,데데,left,,,고니 님!,
12,,,,,,,,,퀸즈 스네이크,퀸즈 스네이크,right,,,...추락해서 죽은 줄만 알았는데! 나머지 한 녀석은 어디 있지?!,
13,skip_disable,,,1,,,,,고니,고니,left,,,…….,
14,,,,,,,,,고니,고니,left,,,...케사스를 죽인 네놈을 난 용서하지 않겠어!,
15,,,,,,,,,퀸즈 스네이크,퀸즈 스네이크,right,,,꺄하하! 꼴좋군! 좋아~ 네놈들도 그놈처럼 저승길로 보내주지… ,
16,black;0,flash,skip_disable,0.3,,,,,퀸즈 스네이크,퀸즈 스네이크,right,,,,
17,black;0,flash,skip_disable,0.3,,,,,퀸즈 스네이크,퀸즈 스네이크,right,,,,
18,black;0,flash,skip_disable,1,,,,,퀸즈 스네이크,퀸즈 스네이크,right,,,윽?!,
19,,,,,,,,,케사스,케사스,right,,,쉽게 방심하면 안 되지… 퀸즈 스네이크?,
20,,,,,,,,,고니,고니,left,,,착각하지 마~ 너만 속임수를 쓸 수 있는 게 아니라고!,
21,,,,,,,,,퀸즈 스네이크,퀸즈 스네이크,right,,,"이, 이 비열한 놈들! 감히 나를 속여?!",
22,,,,,,,,,고니,고니,left,,,자~ 이걸로 마무리다!,
23,shaking,flash,skip_disable,0.3,,,,,,,,,,,
24,shaking,flash,skip_disable,0.3,,,,,,,,,,,
25,shaking,flash,skip_disable,1,,,,,퀸즈 스네이크,퀸즈 스네이크,right,,,캬아아아악!!,
26,,,,0,,,,,퀸즈 스네이크,퀸즈 스네이크,right,clear_text,,,
27,,,,0,,,,,퀸즈 스네이크,퀸즈 스네이크,right,clear_char,,,
28,black;0.5,skip_disable,,2,,,,,,,,,,,
29,fadein,,,,로비,,,,데데,데데,left,,,정말 멋진 작전이었어요! 저도 깜빡 속아 넘어갔었다고요!,
30,,,,,,,,,고니,고니,left,,,난 별로 한 것이 없어. 다 케사스가 생각한 작전이니까.,
31,,,,,,,,,케사스,케사스,right,,,"그 말에 반박은 하지 않지만, 고니가 돕지 않았다면 성공하지 못했을 거야.",
32,,,,,,,,,누리,누리,left,,,흐음~ 언제나 그렇듯이 위기는 새로운 가능성을 발견하게 하지.,
33,,,,,,,,,누리,누리,left,,,좋은 일이야. 케사스와 고니 둘 다 서로의 좋은 점을 보고 배웠으면 좋겠어.,
34,,,,,,,,,케사스,케사스,right,,,"고니가 좋은 점은 그다지 없지만, 최선을 다해 노력해보겠습니다.",
35,,,,,,,,,고니,고니,left,,,"잠, 잠깐만! 내가 왜 좋은 점이 없어!",
36,,,,,,,,,케사스,케사스,right,,,그럼 네 입으로 내가 네게 보고 배울 점을 말해봐.,
37,,,,,,,,,고니,고니,left,,,…….,
38,,,,,,,,,고니,고니,left,,,"단, 단순하고, 행동력이 빠르고 주저하지 않는다?!",
39,,,,,,,,,케사스,케사스,right,,,"…이런 바보와 함께 세상을 구해야 한다니, 정말 나 자신이 한심해지는군.",
40,,,,,,,,,데데,데데,left,,,"진정해요! 어, 어째서 또 다투는 분위기로 변하는 건가요?!",
41,black;0.5,skip_disable,,0.5,,,,,,,,,,,
