var,value,r_desc
buff_1_count,10,1단계 클리어 실패 버프가 적용되기 위해 필요한 클리어 실패 횟수
buff_2_count,20,2단계 클리어 실패 버프가 적용되기 위해 필요한 클리어 실패 횟수
buff_3_count,30,3단계 클리어 실패 버프가 적용되기 위해 필요한 클리어 실패 횟수
buff_4_count,40,4단계 클리어 실패 버프가 적용되기 위해 필요한 클리어 실패 횟수
buff_5_count,50,5단계 클리어 실패 버프가 적용되기 위해 필요한 클리어 실패 횟수
buff_1_rate,-0.07,"1단계 클리어 버프 실패의 효과. 몬스터들의 최종 atk, def, hp를 지정된 수치만큼 d% 조절"
buff_2_rate,-0.14,"1단계 클리어 버프 실패의 효과. 몬스터들의 최종 atk, def, hp를 지정된 수치만큼 d% 조절"
buff_3_rate,-0.21,"1단계 클리어 버프 실패의 효과. 몬스터들의 최종 atk, def, hp를 지정된 수치만큼 d% 조절"
buff_4_rate,-0.28,"1단계 클리어 버프 실패의 효과. 몬스터들의 최종 atk, def, hp를 지정된 수치만큼 d% 조절"
buff_5_rate,-0.35,"1단계 클리어 버프 실패의 효과. 몬스터들의 최종 atk, def, hp를 지정된 수치만큼 d% 조절"
