product_id,sku,token,t_name,r_group,t_desc,use_desc,price_type,price,price_dollar,xsolla_price_dollar,purchase_point,product_content,mail_content,subscription,icon,banner_res,package_frame_type,package_class,package_res,package_res_2,max_buy_count,max_buy_term,max_buy_display,r_attr,badge
80011,dvm_cash_3k,7i9aj4,다이아 300개,토파즈,blank,,money,3300,3.29,2.99,3000,,"cash;300,topaz;2",,res/ui/icons/item/shop_cash_01.png,,,,,,,,,,
80012,dvm_cash_5k,eml49y,다이아 530개,토파즈,blank,,money,5500,5.49,4.99,5000,,"cash;530,topaz;4",,res/ui/icons/item/shop_cash_02.png,,,,,,,,,,
80013,dvm_cash_10k,3nk4mg,"다이아 1,100개",토파즈,blank,,money,11000,10.99,9.99,10000,,"cash;1100,topaz;8",,res/ui/icons/item/shop_cash_03.png,,,,,,,,,,
80014,dvm_cash_30k,50vr9e,"다이아 3,400개",토파즈,blank,,money,33000,32.99,29.99,30000,,"cash;3400,topaz;30",,res/ui/icons/item/shop_cash_04.png,,,,,,,,,,
80015,dvm_cash_50k,knoqdy,"다이아 5,900개",토파즈,blank,,money,55000,54.99,49.99,50000,,"cash;5900,topaz;50",,res/ui/icons/item/shop_cash_05.png,,,,,,,,,,
80016,dvm_cash_100k,ghjufc,"다이아 12,600개",토파즈,blank,,money,110000,109.99,99.99,100000,,"cash;12600,topaz;100",,res/ui/icons/item/shop_cash_06.png,,,,,,,,,,
81021,dvm_cash_3k,7i9aj4,다이아 300 + 300개,토파즈,최초 구매 특별 혜택 1+1,,money,3300,3.29,2.99,3000,,"cash;600,topaz;2",,res/ui/icons/item/shop_cash_01.png,,,,,,1,permanent,,,plus_one
81022,dvm_cash_5k,eml49y,다이아 530 + 530개,토파즈,최초 구매 특별 혜택 1+1,,money,5500,5.49,4.99,5000,,"cash;1060,topaz;4",,res/ui/icons/item/shop_cash_02.png,,,,,,1,permanent,,,plus_one
81023,dvm_cash_10k,3nk4mg,"다이아 1,100 + 1,100개",토파즈,최초 구매 특별 혜택 1+1,,money,11000,10.99,9.99,10000,,"cash;2200,topaz;8",,res/ui/icons/item/shop_cash_03.png,,,,,,1,permanent,,,plus_one
81024,dvm_firstdia_30k,yppe8r,"다이아 3,400 + 3,400개",토파즈,최초 구매 특별 혜택 1+1,,money,33000,32.99,29.99,30000,,"cash;6800,topaz;30",,res/ui/icons/item/shop_cash_04.png,,,,,,1,permanent,,,plus_one
81025,dvm_firstdia_50k,igbe9n,"다이아 5,900 + 5,900개",토파즈,최초 구매 특별 혜택 1+1,,money,55000,54.99,49.99,50000,,"cash;11800,topaz;50",,res/ui/icons/item/shop_cash_05.png,,,,,,1,permanent,,,plus_one
81026,dvm_firstdia_100k,ue28r6,"다이아 12,600 + 12,600개",토파즈,최초 구매 특별 혜택 1+1,,money,110000,109.99,99.99,100000,,"cash;25200,topaz;100",,res/ui/icons/item/shop_cash_06.png,,,,,,1,permanent,,,plus_one
81031,dvm_cash_3k,7i9aj4,다이아 300 + 60개,토파즈 +20%,blank,,money,3300,3.29,2.99,3000,,"cash;360,topaz;2",,res/ui/icons/item/shop_cash_01.png,,,,,,1,monthly,permanent,,bonus_20
81032,dvm_cash_5k,eml49y,다이아 530 + 106개,토파즈 +20%,blank,,money,5500,5.49,4.99,5000,,"cash;636,topaz;4",,res/ui/icons/item/shop_cash_02.png,,,,,,1,monthly,permanent,,bonus_20
81033,dvm_cash_10k,3nk4mg,"다이아 1,100 + 220개",토파즈 +20%,blank,,money,11000,10.99,9.99,10000,,"cash;1320,topaz;8",,res/ui/icons/item/shop_cash_03.png,,,,,,1,monthly,permanent,,bonus_20
81034,dvm_firstdia_30k,yppe8r,"다이아 3,400 + 680개",토파즈 +20%,blank,,money,33000,32.99,29.99,30000,,"cash;4080,topaz;30",,res/ui/icons/item/shop_cash_04.png,,,,,,1,monthly,permanent,,bonus_20
81035,dvm_firstdia_50k,igbe9n,"다이아 5,900 + 1,180개",토파즈 +20%,blank,,money,55000,54.99,49.99,50000,,"cash;7080,topaz;50",,res/ui/icons/item/shop_cash_05.png,,,,,,1,monthly,permanent,,bonus_20
81036,dvm_firstdia_100k,ue28r6,"다이아 12,600 + 2,520개",토파즈 +20%,blank,,money,110000,109.99,99.99,100000,,"cash;15120,topaz;100",,res/ui/icons/item/shop_cash_06.png,,,,,,1,monthly,permanent,,bonus_20
81041,dvm_cash_3k,7i9aj4,다이아 300 + 90개,토파즈 +30%,blank,,money,3300,3.29,2.99,3000,,"cash;390,topaz;2",,res/ui/icons/item/shop_cash_01.png,,,,,,1,monthly,permanent,,bonus_30
81042,dvm_cash_5k,eml49y,다이아 530 + 159개,토파즈 +30%,blank,,money,5500,5.49,4.99,5000,,"cash;689,topaz;4",,res/ui/icons/item/shop_cash_02.png,,,,,,1,monthly,permanent,,bonus_30
81043,dvm_cash_10k,3nk4mg,"다이아 1,100 + 330개",토파즈 +30%,blank,,money,11000,10.99,9.99,10000,,"cash;1430,topaz;8",,res/ui/icons/item/shop_cash_03.png,,,,,,1,monthly,permanent,,bonus_30
81044,dvm_firstdia_30k,yppe8r,"다이아 3,400 + 1,020개",토파즈 +30%,blank,,money,33000,32.99,29.99,30000,,"cash;4420,topaz;30",,res/ui/icons/item/shop_cash_04.png,,,,,,1,monthly,permanent,,bonus_30
81045,dvm_firstdia_50k,igbe9n,"다이아 5,900 + 1,770개",토파즈 +30%,blank,,money,55000,54.99,49.99,50000,,"cash;7670,topaz;50",,res/ui/icons/item/shop_cash_05.png,,,,,,1,monthly,permanent,,bonus_30
81046,dvm_firstdia_100k,ue28r6,"다이아 12,600 + 3,780개",토파즈 +30%,blank,,money,110000,109.99,99.99,100000,,"cash;16380,topaz;100",,res/ui/icons/item/shop_cash_06.png,,,,,,1,monthly,permanent,,bonus_30
81051,dvm_cash_3k,7i9aj4,다이아 300 + 150개,토파즈 +50%,blank,,money,3300,3.29,2.99,3000,,"cash;450,topaz;2",,res/ui/icons/item/shop_cash_01.png,,,,,,1,monthly,permanent,,bonus_50
81052,dvm_cash_5k,eml49y,다이아 530 + 265개,토파즈 +50%,blank,,money,5500,5.49,4.99,5000,,"cash;795,topaz;4",,res/ui/icons/item/shop_cash_02.png,,,,,,1,monthly,permanent,,bonus_50
81053,dvm_cash_10k,3nk4mg,"다이아 1,100 + 550개",토파즈 +50%,blank,,money,11000,10.99,9.99,10000,,"cash;1650,topaz;8",,res/ui/icons/item/shop_cash_03.png,,,,,,1,monthly,permanent,,bonus_50
81054,dvm_firstdia_30k,yppe8r,"다이아 3,400 + 1,700개",토파즈 +50%,blank,,money,33000,32.99,29.99,30000,,"cash;5100,topaz;30",,res/ui/icons/item/shop_cash_04.png,,,,,,1,monthly,permanent,,bonus_50
81055,dvm_firstdia_50k,igbe9n,"다이아 5,900 + 2,950개",토파즈 +50%,blank,,money,55000,54.99,49.99,50000,,"cash;8850,topaz;50",,res/ui/icons/item/shop_cash_05.png,,,,,,1,monthly,permanent,,bonus_50
